Study Name	CASS
Sample Name	S52-CF8-290C-30khr
Run Name	spot05
Operator	Saleem
Date	5/4/2019
Time	01:01
Sign	FIX
Grating Spacing	6.40 um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	01:03:27
	
Time	Amplitude
0.000000E+0	3.134679E-4
5.000000E-11	3.528658E-4
1.000000E-10	3.905506E-4
1.500000E-10	4.042542E-4
2.000000E-10	3.939765E-4
2.500000E-10	3.631435E-4
3.000000E-10	3.323104E-4
3.500000E-10	3.031903E-4
4.000000E-10	2.500889E-4
4.500000E-10	1.678675E-4
5.000000E-10	8.735906E-5
5.500000E-10	1.198948E-5
6.000000E-10	-5.310242E-5
6.500000E-10	-9.250014E-5
7.000000E-10	-1.027778E-4
7.500000E-10	-1.181943E-4
8.000000E-10	-1.233331E-4
8.500000E-10	-8.736123E-5
9.000000E-10	-2.912106E-5
9.500000E-10	2.055433E-5
1.000000E-9	7.194263E-5
1.050000E-9	1.147662E-4
1.100000E-9	1.387474E-4
1.150000E-9	1.747192E-4
1.200000E-9	2.209687E-4
1.250000E-9	2.192557E-4
1.300000E-9	2.021263E-4
1.350000E-9	1.987004E-4
1.400000E-9	1.884228E-4
1.450000E-9	1.627286E-4
1.500000E-9	1.353216E-4
1.550000E-9	9.763682E-5
1.600000E-9	5.138727E-5
1.650000E-9	1.027652E-5
1.700000E-9	-3.939899E-5
1.750000E-9	-1.010652E-4
1.800000E-9	-1.558796E-4
1.850000E-9	-1.969905E-4
1.900000E-9	-2.363885E-4
1.950000E-9	-2.569440E-4
2.000000E-9	-2.569441E-4
2.050000E-9	-2.552312E-4
2.100000E-9	-2.415277E-4
2.150000E-9	-2.141206E-4
2.200000E-9	-2.004170E-4
2.250000E-9	-1.969910E-4
2.300000E-9	-2.038427E-4
2.350000E-9	-2.295368E-4
2.400000E-9	-2.500920E-4
2.450000E-9	-2.432401E-4
2.500000E-9	-2.295365E-4
2.550000E-9	-2.295364E-4
2.600000E-9	-2.278234E-4
2.650000E-9	-2.243975E-4
2.700000E-9	-2.072681E-4
2.750000E-9	-1.832868E-4
2.800000E-9	-1.610185E-4
2.850000E-9	-1.438891E-4
2.900000E-9	-1.284726E-4
2.950000E-9	-1.267597E-4
3.000000E-9	-1.404633E-4
3.050000E-9	-1.610188E-4
3.100000E-9	-1.764354E-4
3.150000E-9	-1.884261E-4
3.200000E-9	-2.072685E-4
3.250000E-9	-1.884262E-4
3.300000E-9	-1.336119E-4
3.350000E-9	-6.852000E-5
3.400000E-9	1.712734E-5
3.450000E-9	1.250430E-4
3.500000E-9	2.261069E-4
3.550000E-9	3.186061E-4
3.600000E-9	4.025406E-4
3.650000E-9	4.282349E-4
3.700000E-9	4.042538E-4
3.750000E-9	3.682821E-4
3.800000E-9	2.894866E-4
3.850000E-9	1.627285E-4
3.900000E-9	3.425759E-5
3.950000E-9	-9.763931E-5
4.000000E-9	-2.483787E-4
4.050000E-9	-3.717109E-4
4.100000E-9	-4.350900E-4
4.150000E-9	-4.779138E-4
4.200000E-9	-5.036081E-4
4.250000E-9	-4.813398E-4
4.300000E-9	-4.333774E-4
4.350000E-9	-3.665724E-4
4.400000E-9	-2.826379E-4
4.450000E-9	-1.987034E-4
4.500000E-9	-1.096301E-4
4.550000E-9	-2.740842E-5
4.600000E-9	3.254489E-5
4.650000E-9	5.310037E-5
4.700000E-9	7.536872E-5
4.750000E-9	9.249815E-5
4.800000E-9	6.851680E-5
4.850000E-9	-1.714161E-6
4.900000E-9	-7.194515E-5
4.950000E-9	-1.318985E-4
5.000000E-9	-1.850000E-4
5.050000E-9	-2.295367E-4
5.100000E-9	-2.843510E-4
5.150000E-9	-3.374524E-4
5.200000E-9	-3.665724E-4
5.250000E-9	-3.837017E-4
5.300000E-9	-4.076828E-4
5.350000E-9	-4.179603E-4
5.400000E-9	-3.956918E-4
5.450000E-9	-3.717103E-4
5.500000E-9	-3.511549E-4
5.550000E-9	-3.100441E-4
5.600000E-9	-2.689334E-4
5.650000E-9	-2.483781E-4
5.700000E-9	-2.312487E-4
5.750000E-9	-1.935641E-4
5.800000E-9	-1.661571E-4
5.850000E-9	-1.524537E-4
