Study Name	CASS
Sample Name	S43-CF8-290C-10khr
Run Name	spot07
Operator	Ben/Saleem/Mike
Date	5/3/2019
Time	17:30
Sign	FIX
Grating Spacing	6.40 um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	17:31:57
	
Time	Amplitude
0.000000E+0	-4.453657E-4
5.000000E-11	-4.522175E-4
1.000000E-10	-4.385139E-4
1.500000E-10	-4.248104E-4
2.000000E-10	-4.076809E-4
2.500000E-10	-4.008291E-4
3.000000E-10	-4.042550E-4
3.500000E-10	-3.974033E-4
4.000000E-10	-3.768479E-4
4.500000E-10	-3.528667E-4
5.000000E-10	-3.186078E-4
5.500000E-10	-2.706453E-4
6.000000E-10	-2.398123E-4
6.500000E-10	-2.192570E-4
7.000000E-10	-1.884240E-4
7.500000E-10	-1.678686E-4
8.000000E-10	-1.918498E-4
8.500000E-10	-2.192570E-4
9.000000E-10	-2.261087E-4
9.500000E-10	-2.466641E-4
1.000000E-9	-3.117560E-4
1.050000E-9	-3.768479E-4
1.100000E-9	-4.385139E-4
1.150000E-9	-5.138835E-4
1.200000E-9	-5.618460E-4
1.250000E-9	-5.789754E-4
1.300000E-9	-6.098084E-4
1.350000E-9	-6.337897E-4
1.400000E-9	-6.029567E-4
1.450000E-9	-5.618460E-4
1.500000E-9	-5.412906E-4
1.550000E-9	-5.070317E-4
1.600000E-9	-4.727728E-4
1.650000E-9	-4.590693E-4
1.700000E-9	-4.487916E-4
1.750000E-9	-4.179586E-4
1.800000E-9	-3.905515E-4
1.850000E-9	-3.871256E-4
1.900000E-9	-3.836997E-4
1.950000E-9	-3.562926E-4
2.000000E-9	-3.357372E-4
2.050000E-9	-3.186078E-4
2.100000E-9	-2.809230E-4
2.150000E-9	-2.500900E-4
2.200000E-9	-2.295346E-4
2.250000E-9	-1.918498E-4
2.300000E-9	-1.404615E-4
2.350000E-9	-1.027767E-4
2.400000E-9	-9.249903E-5
2.450000E-9	-9.249903E-5
2.500000E-9	-1.130544E-4
2.550000E-9	-1.507392E-4
2.600000E-9	-1.815722E-4
2.650000E-9	-2.089793E-4
2.700000E-9	-2.295346E-4
2.750000E-9	-2.466641E-4
2.800000E-9	-2.706453E-4
2.850000E-9	-2.843489E-4
2.900000E-9	-2.569418E-4
2.950000E-9	-2.261087E-4
3.000000E-9	-2.021275E-4
3.050000E-9	-1.815722E-4
3.100000E-9	-1.541651E-4
3.150000E-9	-1.164803E-4
3.200000E-9	-7.194369E-5
3.250000E-9	-2.398123E-5
3.300000E-9	1.712945E-5
3.350000E-9	4.111068E-5
3.400000E-9	5.824013E-5
3.450000E-9	8.907314E-5
3.500000E-9	1.370356E-4
3.550000E-9	1.644427E-4
3.600000E-9	1.473133E-4
3.650000E-9	1.267579E-4
3.700000E-9	1.027767E-4
3.750000E-9	3.083301E-5
3.800000E-9	-6.166602E-5
3.850000E-9	-1.575909E-4
3.900000E-9	-2.774971E-4
3.950000E-9	-4.145327E-4
4.000000E-9	-5.241612E-4
4.050000E-9	-6.098084E-4
4.100000E-9	-6.783262E-4
4.150000E-9	-7.091593E-4
4.200000E-9	-6.954557E-4
4.250000E-9	-6.440673E-4
4.300000E-9	-5.755495E-4
4.350000E-9	-4.967541E-4
4.400000E-9	-4.008291E-4
4.450000E-9	-2.912007E-4
4.500000E-9	-1.918498E-4
4.550000E-9	-1.199062E-4
4.600000E-9	-7.194369E-5
4.650000E-9	-2.740712E-5
4.700000E-9	3.425890E-6
4.750000E-9	1.370356E-5
4.800000E-9	2.398123E-5
4.850000E-9	2.398123E-5
4.900000E-9	0.000000E+0
4.950000E-9	-1.712945E-5
5.000000E-9	-1.370356E-5
5.050000E-9	-3.083301E-5
5.100000E-9	-7.536958E-5
5.150000E-9	-1.233320E-4
5.200000E-9	-1.610168E-4
5.250000E-9	-2.021275E-4
5.300000E-9	-2.363864E-4
5.350000E-9	-2.672194E-4
5.400000E-9	-3.049042E-4
5.450000E-9	-3.323113E-4
5.500000E-9	-3.562926E-4
5.550000E-9	-4.042550E-4
5.600000E-9	-4.213845E-4
5.650000E-9	-3.939774E-4
5.700000E-9	-3.631444E-4
5.750000E-9	-3.323113E-4
5.800000E-9	-2.912007E-4
5.850000E-9	-2.329605E-4
5.900000E-9	-1.473133E-4
5.950000E-9	-6.509191E-5
6.000000E-9	-3.768479E-5
6.050000E-9	-5.824013E-5
6.100000E-9	-4.796246E-5
6.150000E-9	-2.740712E-5
6.200000E-9	-6.851780E-5
6.250000E-9	-1.301838E-4
6.300000E-9	-1.747204E-4
6.350000E-9	-2.466641E-4
6.400000E-9	-3.460149E-4
6.450000E-9	-3.905515E-4
6.500000E-9	-3.905515E-4
6.550000E-9	-3.974033E-4
6.600000E-9	-4.042550E-4
6.650000E-9	-3.871256E-4
6.700000E-9	-3.425890E-4
6.750000E-9	-2.774971E-4
6.800000E-9	-2.021275E-4
6.850000E-9	-1.301838E-4
6.900000E-9	-6.166602E-5
6.950000E-9	-2.055534E-5
7.000000E-9	-6.851780E-6
7.050000E-9	3.425890E-5
7.100000E-9	7.194369E-5
7.150000E-9	5.481424E-5
7.200000E-9	1.712945E-5
7.250000E-9	-2.055534E-5
7.300000E-9	-8.564725E-5
7.350000E-9	-1.747204E-4
7.400000E-9	-2.398123E-4
7.450000E-9	-2.946265E-4
7.500000E-9	-3.562926E-4
7.550000E-9	-3.939774E-4
7.600000E-9	-3.974033E-4
7.650000E-9	-3.836997E-4
7.700000E-9	-3.357372E-4
7.750000E-9	-2.740712E-4
7.800000E-9	-2.192570E-4
7.850000E-9	-1.610168E-4
7.900000E-9	-8.222136E-5
7.950000E-9	-2.740712E-5
8.000000E-9	0.000000E+0
8.050000E-9	2.740712E-5
8.100000E-9	5.138835E-5
8.150000E-9	5.138835E-5
8.200000E-9	4.453657E-5
8.250000E-9	6.166602E-5
8.300000E-9	7.879547E-5
8.350000E-9	9.592492E-5
8.400000E-9	1.336097E-4
8.450000E-9	1.815722E-4
8.500000E-9	2.363864E-4
8.550000E-9	2.946265E-4
8.600000E-9	3.460149E-4
8.650000E-9	3.665702E-4
8.700000E-9	3.562926E-4
8.750000E-9	3.220337E-4
8.800000E-9	2.843489E-4
8.850000E-9	2.192570E-4
8.900000E-9	1.301838E-4
8.950000E-9	5.138835E-5
9.000000E-9	-3.083301E-5
9.050000E-9	-1.199062E-4
9.100000E-9	-1.952757E-4
9.150000E-9	-2.295346E-4
9.200000E-9	-2.192570E-4
9.250000E-9	-1.918498E-4
9.300000E-9	-1.712945E-4
9.350000E-9	-1.507392E-4
9.400000E-9	-1.096285E-4
9.450000E-9	-6.509191E-5
9.500000E-9	-1.027767E-5
9.550000E-9	6.509191E-5
9.600000E-9	1.575909E-4
9.650000E-9	2.706453E-4
9.700000E-9	4.111068E-4
9.750000E-9	5.310130E-4
9.800000E-9	6.886039E-4
9.850000E-9	1.065452E-3
9.900000E-9	1.593039E-3
9.950000E-9	2.113774E-3
1.000000E-8	2.877748E-3
1.005000E-8	4.080235E-3
1.010000E-8	5.573923E-3
1.015000E-8	7.369090E-3
1.020000E-8	9.729528E-3
1.025000E-8	1.268265E-2
1.030000E-8	1.612224E-2
1.035000E-8	2.018877E-2
1.040000E-8	2.488224E-2
1.045000E-8	2.991145E-2
1.050000E-8	3.534491E-2
1.055000E-8	4.122374E-2
1.060000E-8	4.714710E-2
1.065000E-8	5.303620E-2
1.070000E-8	5.900411E-2
1.075000E-8	6.475275E-2
1.080000E-8	7.010399E-2
1.085000E-8	7.528393E-2
1.090000E-8	8.019666E-2
1.095000E-8	8.458865E-2
1.100000E-8	8.872028E-2
1.105000E-8	9.280736E-2
1.110000E-8	9.660325E-2
1.115000E-8	1.001251E-1
1.120000E-8	1.036160E-1
1.125000E-8	1.069323E-1
1.130000E-8	1.099163E-1
1.135000E-8	1.126912E-1
1.140000E-8	1.152641E-1
1.145000E-8	1.174018E-1
1.150000E-8	1.190976E-1
1.155000E-8	1.204851E-1
1.160000E-8	1.214135E-1
1.165000E-8	1.217390E-1
1.170000E-8	1.216636E-1
1.175000E-8	1.213039E-1
1.180000E-8	1.205502E-1
1.185000E-8	1.194505E-1
1.190000E-8	1.182446E-1
1.195000E-8	1.169222E-1
1.200000E-8	1.154217E-1
1.205000E-8	1.139417E-1
1.210000E-8	1.125919E-1
1.215000E-8	1.112112E-1
1.220000E-8	1.098169E-1
1.225000E-8	1.085082E-1
1.230000E-8	1.072098E-1
1.235000E-8	1.058737E-1
1.240000E-8	1.045376E-1
1.245000E-8	1.031536E-1
1.250000E-8	1.016290E-1
1.255000E-8	9.997775E-2
1.260000E-8	9.823397E-2
1.265000E-8	9.641483E-2
1.270000E-8	9.451346E-2
1.275000E-8	9.251274E-2
1.280000E-8	9.050859E-2
1.285000E-8	8.860037E-2
1.290000E-8	8.675039E-2
1.295000E-8	8.495522E-2
1.300000E-8	8.339302E-2
1.305000E-8	8.210488E-2
1.310000E-8	8.099832E-2
1.315000E-8	8.012814E-2
1.320000E-8	7.961083E-2
1.325000E-8	7.940528E-2
1.330000E-8	7.945667E-2
1.335000E-8	7.978213E-2
1.340000E-8	8.035083E-2
1.345000E-8	8.109082E-2
1.350000E-8	8.201581E-2
1.355000E-8	8.309839E-2
1.360000E-8	8.423236E-2
1.365000E-8	8.537661E-2
1.370000E-8	8.656539E-2
1.375000E-8	8.773705E-2
1.380000E-8	8.889842E-2
1.385000E-8	9.010434E-2
1.390000E-8	9.125886E-2
1.395000E-8	9.236200E-2
1.400000E-8	9.358847E-2
1.405000E-8	9.489716E-2
1.410000E-8	9.614075E-2
1.415000E-8	9.741518E-2
1.420000E-8	9.882665E-2
1.425000E-8	1.002450E-1
1.430000E-8	1.016153E-1
1.435000E-8	1.030131E-1
1.440000E-8	1.043937E-1
1.445000E-8	1.056647E-1
1.450000E-8	1.068364E-1
1.455000E-8	1.079190E-1
1.460000E-8	1.088714E-1
1.465000E-8	1.096422E-1
1.470000E-8	1.102040E-1
1.475000E-8	1.105946E-1
1.480000E-8	1.108036E-1
1.485000E-8	1.108001E-1
1.490000E-8	1.106151E-1
1.495000E-8	1.102520E-1
1.500000E-8	1.096867E-1
1.505000E-8	1.089741E-1
1.510000E-8	1.081554E-1
1.515000E-8	1.072098E-1
1.520000E-8	1.061889E-1
1.525000E-8	1.051680E-1
1.530000E-8	1.041231E-1
1.535000E-8	1.030336E-1
1.540000E-8	1.019545E-1
1.545000E-8	1.008993E-1
1.550000E-8	9.983386E-2
1.555000E-8	9.878554E-2
1.560000E-8	9.775435E-2
1.565000E-8	9.673001E-2
1.570000E-8	9.571937E-2
1.575000E-8	9.472929E-2
1.580000E-8	9.373235E-2
1.585000E-8	9.272857E-2
1.590000E-8	9.172136E-2
1.595000E-8	9.072442E-2
1.600000E-8	8.979943E-2
1.605000E-8	8.892583E-2
1.610000E-8	8.805565E-2
1.615000E-8	8.723687E-2
1.620000E-8	8.653113E-2
1.625000E-8	8.592475E-2
1.630000E-8	8.547253E-2
1.635000E-8	8.524300E-2
1.640000E-8	8.520189E-2
1.645000E-8	8.533892E-2
1.650000E-8	8.568836E-2
1.655000E-8	8.622623E-2
1.660000E-8	8.693539E-2
1.665000E-8	8.780899E-2
1.670000E-8	8.877852E-2
1.675000E-8	8.976517E-2
1.680000E-8	9.080664E-2
1.685000E-8	9.187209E-2
1.690000E-8	9.286903E-2
1.695000E-8	9.382485E-2
1.700000E-8	9.478410E-2
1.705000E-8	9.569196E-2
1.710000E-8	9.656214E-2
1.715000E-8	9.744944E-2
1.720000E-8	9.832647E-2
1.725000E-8	9.921035E-2
1.730000E-8	1.001490E-1
1.735000E-8	1.010912E-1
1.740000E-8	1.020025E-1
1.745000E-8	1.029172E-1
1.750000E-8	1.038250E-1
1.755000E-8	1.047055E-1
1.760000E-8	1.055311E-1
1.765000E-8	1.062745E-1
1.770000E-8	1.069460E-1
1.775000E-8	1.075455E-1
1.780000E-8	1.080217E-1
1.785000E-8	1.084020E-1
1.790000E-8	1.086795E-1
1.795000E-8	1.087823E-1
1.800000E-8	1.087515E-1
1.805000E-8	1.086315E-1
1.810000E-8	1.083472E-1
1.815000E-8	1.078881E-1
1.820000E-8	1.073571E-1
1.825000E-8	1.067542E-1
1.830000E-8	1.059902E-1
1.835000E-8	1.051371E-1
1.840000E-8	1.042841E-1
1.845000E-8	1.033968E-1
1.850000E-8	1.024992E-1
1.855000E-8	1.016153E-1
1.860000E-8	1.007109E-1
1.865000E-8	9.980646E-2
1.870000E-8	9.893971E-2
1.875000E-8	9.806268E-2
1.880000E-8	9.717195E-2
1.885000E-8	9.629834E-2
1.890000E-8	9.542474E-2
1.895000E-8	9.453744E-2
1.900000E-8	9.367754E-2
1.905000E-8	9.283820E-2
1.910000E-8	9.200913E-2
1.915000E-8	9.122460E-2
1.920000E-8	9.053257E-2
1.925000E-8	8.990563E-2
1.930000E-8	8.933694E-2
1.935000E-8	8.889157E-2
1.940000E-8	8.858324E-2
1.945000E-8	8.839139E-2
1.950000E-8	8.830917E-2
1.955000E-8	8.834685E-2
1.960000E-8	8.852157E-2
1.965000E-8	8.884703E-2
1.970000E-8	8.928212E-2
1.975000E-8	8.979601E-2
1.980000E-8	9.040239E-2
1.985000E-8	9.113210E-2
1.990000E-8	9.195089E-2
1.995000E-8	9.279023E-2
2.000000E-8	9.367069E-2
2.005000E-8	9.460596E-2
2.010000E-8	9.552752E-2
2.015000E-8	9.640112E-2
2.020000E-8	9.728843E-2
2.025000E-8	9.816545E-2
2.030000E-8	9.897396E-2
2.035000E-8	9.975849E-2
2.040000E-8	1.005533E-1
2.045000E-8	1.013001E-1
2.050000E-8	1.020093E-1
2.055000E-8	1.027219E-1
2.060000E-8	1.033797E-1
2.065000E-8	1.039518E-1
2.070000E-8	1.044794E-1
2.075000E-8	1.049727E-1
2.080000E-8	1.054009E-1
2.085000E-8	1.057504E-1
2.090000E-8	1.060176E-1
2.095000E-8	1.061923E-1
2.100000E-8	1.062540E-1
2.105000E-8	1.062094E-1
2.110000E-8	1.060895E-1
2.115000E-8	1.059114E-1
2.120000E-8	1.056339E-1
2.125000E-8	1.052536E-1
2.130000E-8	1.048117E-1
2.135000E-8	1.042909E-1
2.140000E-8	1.036777E-1
2.145000E-8	1.030234E-1
2.150000E-8	1.023005E-1
2.155000E-8	1.014646E-1
2.160000E-8	1.005773E-1
2.165000E-8	9.970025E-2
2.170000E-8	9.875813E-2
2.175000E-8	9.778176E-2
2.180000E-8	9.687047E-2
2.185000E-8	9.599344E-2
2.190000E-8	9.509586E-2
2.195000E-8	9.423253E-2
2.200000E-8	9.344115E-2
2.205000E-8	9.270116E-2
2.210000E-8	9.198858E-2
2.215000E-8	9.129312E-2
2.220000E-8	9.062507E-2
2.225000E-8	9.001526E-2
2.230000E-8	8.946712E-2
2.235000E-8	8.896351E-2
2.240000E-8	8.852157E-2
2.245000E-8	8.816871E-2
2.250000E-8	8.788093E-2
2.255000E-8	8.767881E-2
2.260000E-8	8.759316E-2
2.265000E-8	8.761714E-2
2.270000E-8	8.772334E-2
2.275000E-8	8.792890E-2
2.280000E-8	8.824408E-2
2.285000E-8	8.866204E-2
2.290000E-8	8.915194E-2
2.295000E-8	8.970693E-2
2.300000E-8	9.033730E-2
2.305000E-8	9.104988E-2
2.310000E-8	9.180015E-2
2.315000E-8	9.255727E-2
2.320000E-8	9.335208E-2
2.325000E-8	9.418457E-2
2.330000E-8	9.501021E-2
2.335000E-8	9.579816E-2
2.340000E-8	9.657584E-2
2.345000E-8	9.732954E-2
2.350000E-8	9.804212E-2
2.355000E-8	9.873073E-2
2.360000E-8	9.938850E-2
2.365000E-8	9.997432E-2
2.370000E-8	1.004848E-1
2.375000E-8	1.009199E-1
2.380000E-8	1.012864E-1
2.385000E-8	1.015982E-1
2.390000E-8	1.018209E-1
2.395000E-8	1.019408E-1
2.400000E-8	1.019853E-1
2.405000E-8	1.019271E-1
2.410000E-8	1.017387E-1
2.415000E-8	1.014440E-1
2.420000E-8	1.010775E-1
2.425000E-8	1.006115E-1
2.430000E-8	1.000291E-1
2.435000E-8	9.937479E-2
2.440000E-8	9.867249E-2
2.445000E-8	9.792907E-2
2.450000E-8	9.714454E-2
2.455000E-8	9.631547E-2
2.460000E-8	9.545215E-2
2.465000E-8	9.459225E-2
