Study Name	CASS
Sample Name	K23-CF8M-290C-10khr
Run Name	spot08
Operator	Saleem
Date	5/3/2019
Time	21:55
Sign	FIX
Grating Spacing	6.40 um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	21:57:44
	
Time	Amplitude
0.000000E+0	-2.192570E-4
5.000000E-11	-2.809230E-4
1.000000E-10	-3.665702E-4
1.500000E-10	-4.522175E-4
2.000000E-10	-4.967541E-4
2.500000E-10	-5.138835E-4
3.000000E-10	-5.104576E-4
3.500000E-10	-4.761987E-4
4.000000E-10	-4.213845E-4
4.500000E-10	-3.357372E-4
5.000000E-10	-2.261087E-4
5.500000E-10	-1.199062E-4
6.000000E-10	-4.111068E-5
6.500000E-10	1.370356E-5
7.000000E-10	2.398123E-5
7.500000E-10	1.027767E-5
8.000000E-10	-3.425890E-6
8.500000E-10	-5.138835E-5
9.000000E-10	-1.164803E-4
9.500000E-10	-1.336097E-4
1.000000E-9	-1.164803E-4
1.050000E-9	-1.062026E-4
1.100000E-9	-8.222136E-5
1.150000E-9	-6.851780E-6
1.200000E-9	9.935081E-5
1.250000E-9	1.884240E-4
1.300000E-9	2.466641E-4
1.350000E-9	2.877748E-4
1.400000E-9	3.117560E-4
1.450000E-9	2.912007E-4
1.500000E-9	2.158311E-4
1.550000E-9	1.233320E-4
1.600000E-9	1.027767E-5
1.650000E-9	-1.267579E-4
1.700000E-9	-2.569418E-4
1.750000E-9	-3.871256E-4
1.800000E-9	-5.138835E-4
1.850000E-9	-6.029567E-4
1.900000E-9	-6.509191E-4
1.950000E-9	-6.646227E-4
2.000000E-9	-6.474932E-4
2.050000E-9	-5.858272E-4
2.100000E-9	-5.241612E-4
2.150000E-9	-4.693469E-4
2.200000E-9	-4.145327E-4
2.250000E-9	-3.597185E-4
2.300000E-9	-3.117560E-4
2.350000E-9	-2.637935E-4
2.400000E-9	-2.329605E-4
2.450000E-9	-1.952757E-4
2.500000E-9	-1.027767E-4
2.550000E-9	0.000000E+0
2.600000E-9	7.194369E-5
2.650000E-9	1.610168E-4
2.700000E-9	2.706453E-4
2.750000E-9	3.562926E-4
2.800000E-9	4.213845E-4
2.850000E-9	4.796246E-4
2.900000E-9	5.036058E-4
2.950000E-9	4.899023E-4
3.000000E-9	4.487916E-4
3.050000E-9	3.665702E-4
3.100000E-9	2.500900E-4
3.150000E-9	1.473133E-4
3.200000E-9	4.111068E-5
3.250000E-9	-6.851780E-5
3.300000E-9	-1.507392E-4
3.350000E-9	-2.124052E-4
3.400000E-9	-2.466641E-4
3.450000E-9	-2.363864E-4
3.500000E-9	-1.884240E-4
3.550000E-9	-1.370356E-4
3.600000E-9	-8.907314E-5
3.650000E-9	-2.740712E-5
3.700000E-9	4.111068E-5
3.750000E-9	1.027767E-4
3.800000E-9	1.404615E-4
3.850000E-9	1.507392E-4
3.900000E-9	1.610168E-4
3.950000E-9	1.747204E-4
4.000000E-9	1.541651E-4
4.050000E-9	8.907314E-5
4.100000E-9	2.398123E-5
4.150000E-9	-2.398123E-5
4.200000E-9	-1.027767E-4
4.250000E-9	-1.849981E-4
4.300000E-9	-2.295346E-4
4.350000E-9	-2.637935E-4
4.400000E-9	-3.220337E-4
4.450000E-9	-3.597185E-4
4.500000E-9	-3.562926E-4
4.550000E-9	-3.528667E-4
4.600000E-9	-3.391631E-4
4.650000E-9	-3.151819E-4
4.700000E-9	-2.740712E-4
4.750000E-9	-2.192570E-4
4.800000E-9	-1.610168E-4
4.850000E-9	-1.130544E-4
4.900000E-9	-7.536958E-5
4.950000E-9	-3.425890E-5
5.000000E-9	2.055534E-5
5.050000E-9	8.564725E-5
5.100000E-9	1.541651E-4
5.150000E-9	2.192570E-4
5.200000E-9	2.637935E-4
5.250000E-9	3.049042E-4
5.300000E-9	3.528667E-4
5.350000E-9	3.871256E-4
5.400000E-9	3.768479E-4
5.450000E-9	3.425890E-4
5.500000E-9	2.877748E-4
5.550000E-9	2.089793E-4
5.600000E-9	9.592492E-5
5.650000E-9	-2.740712E-5
5.700000E-9	-1.473133E-4
5.750000E-9	-2.535159E-4
5.800000E-9	-3.494408E-4
5.850000E-9	-4.350880E-4
5.900000E-9	-4.899023E-4
5.950000E-9	-4.933282E-4
6.000000E-9	-4.350880E-4
6.050000E-9	-3.254596E-4
6.100000E-9	-2.226829E-4
6.150000E-9	-1.301838E-4
6.200000E-9	-1.712945E-5
6.250000E-9	8.222136E-5
6.300000E-9	1.575909E-4
6.350000E-9	2.329605E-4
6.400000E-9	2.877748E-4
6.450000E-9	2.946265E-4
6.500000E-9	2.774971E-4
6.550000E-9	2.432382E-4
6.600000E-9	1.712945E-4
6.650000E-9	1.062026E-4
6.700000E-9	8.222136E-5
6.750000E-9	5.138835E-5
6.800000E-9	1.370356E-5
6.850000E-9	1.370356E-5
6.900000E-9	3.083301E-5
6.950000E-9	4.111068E-5
7.000000E-9	7.194369E-5
7.050000E-9	1.267579E-4
7.100000E-9	1.507392E-4
7.150000E-9	1.438874E-4
7.200000E-9	1.404615E-4
7.250000E-9	1.164803E-4
7.300000E-9	6.166602E-5
7.350000E-9	-3.425890E-6
7.400000E-9	-5.824013E-5
7.450000E-9	-1.062026E-4
7.500000E-9	-1.370356E-4
7.550000E-9	-1.473133E-4
7.600000E-9	-1.370356E-4
7.650000E-9	-1.096285E-4
7.700000E-9	-5.481424E-5
7.750000E-9	3.425890E-5
7.800000E-9	1.267579E-4
7.850000E-9	1.918498E-4
7.900000E-9	2.261087E-4
7.950000E-9	2.329605E-4
8.000000E-9	2.261087E-4
8.050000E-9	2.089793E-4
8.100000E-9	1.575909E-4
8.150000E-9	7.879547E-5
8.200000E-9	2.055534E-5
8.250000E-9	-6.851780E-6
8.300000E-9	-2.055534E-5
8.350000E-9	-2.398123E-5
8.400000E-9	6.851780E-6
8.450000E-9	7.536958E-5
8.500000E-9	1.507392E-4
8.550000E-9	2.158311E-4
8.600000E-9	2.843489E-4
8.650000E-9	3.357372E-4
8.700000E-9	3.288854E-4
8.750000E-9	2.843489E-4
8.800000E-9	2.363864E-4
8.850000E-9	1.849981E-4
8.900000E-9	1.164803E-4
8.950000E-9	4.111068E-5
9.000000E-9	-2.398123E-5
9.050000E-9	-5.138835E-5
9.100000E-9	-5.138835E-5
9.150000E-9	-3.083301E-5
9.200000E-9	1.370356E-5
9.250000E-9	9.935081E-5
9.300000E-9	1.952757E-4
9.350000E-9	2.912007E-4
9.400000E-9	4.111068E-4
9.450000E-9	5.275871E-4
9.500000E-9	6.029567E-4
9.550000E-9	6.714745E-4
9.600000E-9	7.536958E-4
9.650000E-9	8.427690E-4
9.700000E-9	9.592492E-4
9.750000E-9	1.082581E-3
9.800000E-9	1.226469E-3
9.850000E-9	1.589613E-3
9.900000E-9	2.151459E-3
9.950000E-9	2.768119E-3
1.000000E-8	3.672554E-3
1.005000E-8	5.111428E-3
1.010000E-8	6.988816E-3
1.015000E-8	9.318421E-3
1.020000E-8	1.238459E-2
1.025000E-8	1.624900E-2
1.030000E-8	2.081228E-2
1.035000E-8	2.618408E-2
1.040000E-8	3.234040E-2
1.045000E-8	3.894894E-2
1.050000E-8	4.595489E-2
1.055000E-8	5.331028E-2
1.060000E-8	6.058344E-2
1.065000E-8	6.757226E-2
1.070000E-8	7.430070E-2
1.075000E-8	8.043990E-2
1.080000E-8	8.577744E-2
1.085000E-8	9.052915E-2
1.090000E-8	9.464021E-2
1.095000E-8	9.793249E-2
1.100000E-8	1.007383E-1
1.105000E-8	1.033146E-1
1.110000E-8	1.055140E-1
1.115000E-8	1.075250E-1
1.120000E-8	1.096764E-1
1.125000E-8	1.118450E-1
1.130000E-8	1.139108E-1
1.135000E-8	1.160760E-1
1.140000E-8	1.183097E-1
1.145000E-8	1.203789E-1
1.150000E-8	1.222426E-1
1.155000E-8	1.239658E-1
1.160000E-8	1.253773E-1
1.165000E-8	1.263091E-1
1.170000E-8	1.268539E-1
1.175000E-8	1.270628E-1
1.180000E-8	1.268093E-1
1.185000E-8	1.260693E-1
1.190000E-8	1.249799E-1
1.195000E-8	1.235616E-1
1.200000E-8	1.217630E-1
1.205000E-8	1.197314E-1
1.210000E-8	1.175800E-1
1.215000E-8	1.152093E-1
1.220000E-8	1.126775E-1
1.225000E-8	1.101663E-1
1.230000E-8	1.076894E-1
1.235000E-8	1.052365E-1
1.240000E-8	1.029103E-1
1.245000E-8	1.007726E-1
1.250000E-8	9.878897E-2
1.255000E-8	9.701436E-2
1.260000E-8	9.551382E-2
1.265000E-8	9.425651E-2
1.270000E-8	9.323560E-2
1.275000E-8	9.246820E-2
1.280000E-8	9.194746E-2
1.285000E-8	9.168024E-2
1.290000E-8	9.165626E-2
1.295000E-8	9.181728E-2
1.300000E-8	9.218728E-2
1.305000E-8	9.280051E-2
1.310000E-8	9.358847E-2
1.315000E-8	9.450660E-2
1.320000E-8	9.563372E-2
1.325000E-8	9.694584E-2
1.330000E-8	9.835388E-2
1.335000E-8	9.990581E-2
1.340000E-8	1.015948E-1
1.345000E-8	1.033077E-1
1.350000E-8	1.050720E-1
1.355000E-8	1.069152E-1
1.360000E-8	1.087309E-1
1.365000E-8	1.105055E-1
1.370000E-8	1.122733E-1
1.375000E-8	1.139725E-1
1.380000E-8	1.156169E-1
1.385000E-8	1.172374E-1
1.390000E-8	1.187037E-1
1.395000E-8	1.199884E-1
1.400000E-8	1.212183E-1
1.405000E-8	1.222906E-1
1.410000E-8	1.230237E-1
1.415000E-8	1.235170E-1
1.420000E-8	1.238425E-1
1.425000E-8	1.238425E-1
1.430000E-8	1.234417E-1
1.435000E-8	1.227805E-1
1.440000E-8	1.218829E-1
1.445000E-8	1.206393E-1
1.450000E-8	1.191251E-1
1.455000E-8	1.174738E-1
1.460000E-8	1.156615E-1
1.465000E-8	1.136676E-1
1.470000E-8	1.116052E-1
1.475000E-8	1.095463E-1
1.480000E-8	1.074428E-1
1.485000E-8	1.053221E-1
1.490000E-8	1.032495E-1
1.495000E-8	1.012693E-1
1.500000E-8	9.936452E-2
1.505000E-8	9.757278E-2
1.510000E-8	9.595233E-2
1.515000E-8	9.453744E-2
1.520000E-8	9.335551E-2
1.525000E-8	9.248190E-2
1.530000E-8	9.189950E-2
1.535000E-8	9.157404E-2
1.540000E-8	9.159460E-2
1.545000E-8	9.200228E-2
1.550000E-8	9.268746E-2
1.555000E-8	9.361587E-2
1.560000E-8	9.480808E-2
1.565000E-8	9.624353E-2
1.570000E-8	9.787425E-2
1.575000E-8	9.968655E-2
1.580000E-8	1.016119E-1
1.585000E-8	1.036195E-1
1.590000E-8	1.056990E-1
1.595000E-8	1.078025E-1
1.600000E-8	1.098820E-1
1.605000E-8	1.119375E-1
1.610000E-8	1.139485E-1
1.615000E-8	1.158705E-1
1.620000E-8	1.176896E-1
1.625000E-8	1.193751E-1
1.630000E-8	1.209065E-1
1.635000E-8	1.222769E-1
1.640000E-8	1.234554E-1
1.645000E-8	1.244078E-1
1.650000E-8	1.251169E-1
1.655000E-8	1.255897E-1
1.660000E-8	1.258158E-1
1.665000E-8	1.257747E-1
1.670000E-8	1.254561E-1
1.675000E-8	1.248668E-1
1.680000E-8	1.240104E-1
1.685000E-8	1.228798E-1
1.690000E-8	1.215026E-1
1.695000E-8	1.199336E-1
1.700000E-8	1.181761E-1
1.705000E-8	1.162644E-1
1.710000E-8	1.142740E-1
