Study Name	CASS
Sample Name	K23-CF8M-330C-10khr
Run Name	spot02
Operator	Saleem
Date	5/3/2019
Time	22:12
Sign	FIX
Grating Spacing	6.40 um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	22:14:17
	
Time	Amplitude
0.000000E+0	-2.398123E-5
5.000000E-11	-4.796246E-5
1.000000E-10	-5.138835E-5
1.500000E-10	-5.138835E-5
2.000000E-10	-8.907314E-5
2.500000E-10	-1.541651E-4
3.000000E-10	-2.466641E-4
3.500000E-10	-3.323113E-4
4.000000E-10	-4.111068E-4
4.500000E-10	-4.967541E-4
5.000000E-10	-5.858272E-4
5.500000E-10	-6.440673E-4
6.000000E-10	-6.749003E-4
6.500000E-10	-6.783262E-4
7.000000E-10	-6.269379E-4
7.500000E-10	-5.584201E-4
8.000000E-10	-4.624952E-4
8.500000E-10	-3.323113E-4
9.000000E-10	-2.124052E-4
9.500000E-10	-1.233320E-4
1.000000E-9	-2.740712E-5
1.050000E-9	5.481424E-5
1.100000E-9	8.907314E-5
1.150000E-9	9.249903E-5
1.200000E-9	8.564725E-5
1.250000E-9	5.138835E-5
1.300000E-9	3.425890E-6
1.350000E-9	-4.111068E-5
1.400000E-9	-1.096285E-4
1.450000E-9	-1.849981E-4
1.500000E-9	-2.398123E-4
1.550000E-9	-2.740712E-4
1.600000E-9	-3.083301E-4
1.650000E-9	-3.117560E-4
1.700000E-9	-2.946265E-4
1.750000E-9	-2.740712E-4
1.800000E-9	-2.158311E-4
1.850000E-9	-1.164803E-4
1.900000E-9	-2.740712E-5
1.950000E-9	4.453657E-5
2.000000E-9	1.370356E-4
2.050000E-9	2.192570E-4
2.100000E-9	2.569418E-4
2.150000E-9	3.117560E-4
2.200000E-9	3.836997E-4
2.250000E-9	3.905515E-4
2.300000E-9	3.391631E-4
2.350000E-9	2.843489E-4
2.400000E-9	2.158311E-4
2.450000E-9	1.301838E-4
2.500000E-9	7.194369E-5
2.550000E-9	3.768479E-5
2.600000E-9	6.851780E-6
2.650000E-9	0.000000E+0
2.700000E-9	1.712945E-5
2.750000E-9	4.796246E-5
2.800000E-9	8.564725E-5
2.850000E-9	9.935081E-5
2.900000E-9	9.935081E-5
2.950000E-9	1.130544E-4
3.000000E-9	1.130544E-4
3.050000E-9	8.222136E-5
3.100000E-9	3.425890E-5
3.150000E-9	-3.425890E-6
3.200000E-9	-4.111068E-5
3.250000E-9	-8.222136E-5
3.300000E-9	-1.164803E-4
3.350000E-9	-1.199062E-4
3.400000E-9	-9.249903E-5
3.450000E-9	-5.824013E-5
3.500000E-9	-2.055534E-5
3.550000E-9	6.851780E-6
3.600000E-9	1.712945E-5
3.650000E-9	2.740712E-5
3.700000E-9	3.425890E-5
3.750000E-9	2.740712E-5
3.800000E-9	-3.425890E-6
3.850000E-9	-5.138835E-5
3.900000E-9	-1.062026E-4
3.950000E-9	-1.678686E-4
4.000000E-9	-2.398123E-4
4.050000E-9	-2.672194E-4
4.100000E-9	-2.706453E-4
4.150000E-9	-2.877748E-4
4.200000E-9	-2.946265E-4
