Study Name	CASS
Sample Name	K23-CF8M-360C-10khr
Run Name	spot09
Operator	Saleem
Date	5/3/2019
Time	23:10
Sign	FIX
Grating Spacing	6.40 um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	23:12:06
	
Time	Amplitude
0.000000E+0	2.398123E-4
5.000000E-11	2.295346E-4
1.000000E-10	1.987016E-4
1.500000E-10	1.164803E-4
2.000000E-10	2.055534E-5
2.500000E-10	-4.111068E-5
3.000000E-10	-9.592492E-5
3.500000E-10	-1.507392E-4
4.000000E-10	-2.021275E-4
4.500000E-10	-2.295346E-4
5.000000E-10	-2.295346E-4
5.500000E-10	-2.089793E-4
6.000000E-10	-1.952757E-4
6.500000E-10	-1.747204E-4
7.000000E-10	-1.301838E-4
7.500000E-10	-9.249903E-5
8.000000E-10	-8.222136E-5
8.500000E-10	-5.824013E-5
9.000000E-10	-2.055534E-5
9.500000E-10	-1.712945E-5
1.000000E-9	-1.712945E-5
1.050000E-9	6.851780E-6
1.100000E-9	1.712945E-5
1.150000E-9	1.027767E-5
1.200000E-9	2.398123E-5
1.250000E-9	3.768479E-5
1.300000E-9	1.370356E-5
1.350000E-9	0.000000E+0
1.400000E-9	1.027767E-5
1.450000E-9	1.712945E-5
1.500000E-9	3.768479E-5
1.550000E-9	6.509191E-5
1.600000E-9	7.879547E-5
1.650000E-9	1.027767E-4
1.700000E-9	1.404615E-4
1.750000E-9	1.575909E-4
1.800000E-9	1.610168E-4
1.850000E-9	1.747204E-4
1.900000E-9	1.815722E-4
1.950000E-9	1.747204E-4
2.000000E-9	1.507392E-4
2.050000E-9	1.062026E-4
2.100000E-9	5.481424E-5
2.150000E-9	1.370356E-5
2.200000E-9	-6.851780E-6
2.250000E-9	-2.398123E-5
2.300000E-9	-5.138835E-5
2.350000E-9	-5.481424E-5
2.400000E-9	-2.055534E-5
2.450000E-9	-3.425890E-6
2.500000E-9	-1.712945E-5
2.550000E-9	0.000000E+0
2.600000E-9	3.083301E-5
2.650000E-9	3.083301E-5
2.700000E-9	1.712945E-5
2.750000E-9	1.370356E-5
2.800000E-9	-1.712945E-5
2.850000E-9	-6.509191E-5
2.900000E-9	-1.199062E-4
2.950000E-9	-1.987016E-4
