Study Name	CASS
Sample Name	K25-CF8M-360C-30khr
Run Name	spot05
Operator	Saleem
Date	5/8/2019
Time	17:16
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	17:18:39
	
Time	Amplitude
0.000000E+0	-1.952757E-4
5.000000E-11	-1.918498E-4
1.000000E-10	-1.918498E-4
1.500000E-10	-1.849981E-4
2.000000E-10	-1.781463E-4
2.500000E-10	-1.884240E-4
3.000000E-10	-1.849981E-4
3.500000E-10	-1.610168E-4
4.000000E-10	-1.473133E-4
4.500000E-10	-1.438874E-4
5.000000E-10	-1.199062E-4
5.500000E-10	-9.935081E-5
6.000000E-10	-8.564725E-5
6.500000E-10	-5.824013E-5
7.000000E-10	-3.768479E-5
7.500000E-10	-4.453657E-5
8.000000E-10	-2.055534E-5
8.500000E-10	2.398123E-5
9.000000E-10	4.796246E-5
9.500000E-10	6.166602E-5
1.000000E-9	7.536958E-5
1.050000E-9	4.453657E-5
1.100000E-9	-1.712945E-5
1.150000E-9	-7.536958E-5
1.200000E-9	-1.336097E-4
1.250000E-9	-2.158311E-4
1.300000E-9	-2.980524E-4
1.350000E-9	-3.836997E-4
1.400000E-9	-4.624952E-4
1.450000E-9	-5.378647E-4
1.500000E-9	-5.858272E-4
1.550000E-9	-5.961049E-4
1.600000E-9	-5.755495E-4
1.650000E-9	-5.104576E-4
1.700000E-9	-4.076809E-4
1.750000E-9	-2.843489E-4
1.800000E-9	-1.712945E-4
1.850000E-9	-3.083301E-5
1.900000E-9	1.507392E-4
1.950000E-9	3.254596E-4
2.000000E-9	4.316622E-4
2.050000E-9	4.761987E-4
2.100000E-9	4.864764E-4
2.150000E-9	4.864764E-4
2.200000E-9	4.590693E-4
2.250000E-9	3.734220E-4
2.300000E-9	2.774971E-4
2.350000E-9	1.952757E-4
2.400000E-9	9.935081E-5
2.450000E-9	1.712945E-5
2.500000E-9	-2.740712E-5
2.550000E-9	-6.851780E-5
2.600000E-9	-1.027767E-4
2.650000E-9	-1.027767E-4
2.700000E-9	-6.166602E-5
2.750000E-9	-1.712945E-5
2.800000E-9	3.425890E-5
2.850000E-9	8.907314E-5
2.900000E-9	1.301838E-4
2.950000E-9	1.575909E-4
3.000000E-9	1.918498E-4
3.050000E-9	1.884240E-4
3.100000E-9	1.541651E-4
3.150000E-9	1.336097E-4
3.200000E-9	1.096285E-4
3.250000E-9	8.564725E-5
3.300000E-9	6.851780E-5
3.350000E-9	3.425890E-5
3.400000E-9	-2.055534E-5
3.450000E-9	-5.481424E-5
3.500000E-9	-6.509191E-5
3.550000E-9	-7.879547E-5
3.600000E-9	-1.027767E-4
3.650000E-9	-1.130544E-4
3.700000E-9	-1.130544E-4
3.750000E-9	-9.592492E-5
3.800000E-9	-8.907314E-5
3.850000E-9	-8.907314E-5
3.900000E-9	-4.796246E-5
3.950000E-9	1.712945E-5
4.000000E-9	5.481424E-5
4.050000E-9	7.879547E-5
4.100000E-9	1.233320E-4
4.150000E-9	1.473133E-4
4.200000E-9	1.370356E-4
4.250000E-9	1.199062E-4
4.300000E-9	8.907314E-5
4.350000E-9	1.370356E-5
4.400000E-9	-8.222136E-5
4.450000E-9	-1.644427E-4
4.500000E-9	-2.295346E-4
4.550000E-9	-2.843489E-4
4.600000E-9	-3.186078E-4
4.650000E-9	-3.151819E-4
4.700000E-9	-2.672194E-4
4.750000E-9	-1.884240E-4
4.800000E-9	-9.935081E-5
4.850000E-9	1.027767E-5
4.900000E-9	1.301838E-4
4.950000E-9	2.466641E-4
5.000000E-9	3.425890E-4
5.050000E-9	3.871256E-4
5.100000E-9	3.802738E-4
5.150000E-9	3.597185E-4
5.200000E-9	3.323113E-4
5.250000E-9	2.774971E-4
5.300000E-9	2.329605E-4
5.350000E-9	1.781463E-4
5.400000E-9	1.027767E-4
5.450000E-9	5.824013E-5
5.500000E-9	5.481424E-5
5.550000E-9	3.425890E-5
5.600000E-9	-1.712945E-5
5.650000E-9	-5.481424E-5
5.700000E-9	-9.592492E-5
5.750000E-9	-1.815722E-4
5.800000E-9	-2.706453E-4
5.850000E-9	-3.288854E-4
5.900000E-9	-3.939774E-4
5.950000E-9	-4.385139E-4
6.000000E-9	-4.385139E-4
6.050000E-9	-4.385139E-4
6.100000E-9	-4.042550E-4
6.150000E-9	-3.186078E-4
6.200000E-9	-2.432382E-4
6.250000E-9	-1.987016E-4
6.300000E-9	-1.199062E-4
6.350000E-9	-2.398123E-5
6.400000E-9	1.712945E-5
6.450000E-9	2.055534E-5
6.500000E-9	1.712945E-5
6.550000E-9	-6.851780E-6
6.600000E-9	-6.166602E-5
6.650000E-9	-1.130544E-4
6.700000E-9	-1.541651E-4
6.750000E-9	-1.987016E-4
6.800000E-9	-2.192570E-4
6.850000E-9	-1.918498E-4
6.900000E-9	-1.473133E-4
6.950000E-9	-1.164803E-4
7.000000E-9	-9.935081E-5
7.050000E-9	-9.935081E-5
7.100000E-9	-1.130544E-4
7.150000E-9	-1.404615E-4
7.200000E-9	-1.952757E-4
7.250000E-9	-2.877748E-4
7.300000E-9	-3.699961E-4
7.350000E-9	-4.248104E-4
7.400000E-9	-5.036058E-4
7.450000E-9	-6.063825E-4
7.500000E-9	-6.440673E-4
7.550000E-9	-6.063825E-4
7.600000E-9	-5.686978E-4
7.650000E-9	-5.138835E-4
7.700000E-9	-4.008291E-4
7.750000E-9	-2.363864E-4
7.800000E-9	-8.564725E-5
7.850000E-9	4.453657E-5
7.900000E-9	1.747204E-4
7.950000E-9	3.014783E-4
8.000000E-9	3.939774E-4
8.050000E-9	4.624952E-4
8.100000E-9	5.173094E-4
8.150000E-9	5.412906E-4
8.200000E-9	5.173094E-4
8.250000E-9	4.624952E-4
8.300000E-9	4.008291E-4
8.350000E-9	3.357372E-4
8.400000E-9	2.603676E-4
8.450000E-9	1.712945E-4
8.500000E-9	6.851780E-5
8.550000E-9	-4.796246E-5
8.600000E-9	-1.747204E-4
8.650000E-9	-3.083301E-4
8.700000E-9	-4.316622E-4
8.750000E-9	-5.447165E-4
8.800000E-9	-6.406414E-4
8.850000E-9	-7.125851E-4
8.900000E-9	-7.502699E-4
8.950000E-9	-7.502699E-4
9.000000E-9	-7.194369E-4
9.050000E-9	-6.474932E-4
9.100000E-9	-5.584201E-4
9.150000E-9	-4.385139E-4
9.200000E-9	-2.980524E-4
9.250000E-9	-1.473133E-4
9.300000E-9	0.000000E+0
9.350000E-9	1.336097E-4
9.400000E-9	2.466641E-4
9.450000E-9	3.391631E-4
9.500000E-9	4.213845E-4
9.550000E-9	4.899023E-4
9.600000E-9	5.515683E-4
9.650000E-9	6.474932E-4
9.700000E-9	8.153618E-4
9.750000E-9	9.421198E-4
9.800000E-9	1.086007E-3
9.850000E-9	1.493688E-3
9.900000E-9	2.096645E-3
9.950000E-9	2.730434E-3
1.000000E-8	3.617740E-3
1.005000E-8	4.974392E-3
1.010000E-8	6.642801E-3
1.015000E-8	8.622965E-3
1.020000E-8	1.119923E-2
1.025000E-8	1.440587E-2
1.030000E-8	1.813324E-2
1.035000E-8	2.247041E-2
1.040000E-8	2.737629E-2
1.045000E-8	3.263503E-2
1.050000E-8	3.828432E-2
1.055000E-8	4.429333E-2
1.060000E-8	5.030234E-2
1.065000E-8	5.623941E-2
1.070000E-8	6.215935E-2
1.075000E-8	6.776411E-2
1.080000E-8	7.292692E-2
1.085000E-8	7.788076E-2
1.090000E-8	8.253997E-2
1.095000E-8	8.665789E-2
1.100000E-8	9.050174E-2
1.105000E-8	9.431475E-2
1.110000E-8	9.788453E-2
1.115000E-8	1.012522E-1
1.120000E-8	1.046507E-1
1.125000E-8	1.079909E-1
1.130000E-8	1.111496E-1
1.135000E-8	1.142432E-1
1.140000E-8	1.172271E-1
1.145000E-8	1.198650E-1
1.150000E-8	1.221261E-1
1.155000E-8	1.240549E-1
1.160000E-8	1.254835E-1
1.165000E-8	1.262543E-1
1.170000E-8	1.264839E-1
1.175000E-8	1.262475E-1
1.180000E-8	1.254184E-1
1.185000E-8	1.239727E-1
1.190000E-8	1.221124E-1
1.195000E-8	1.198924E-1
1.200000E-8	1.172751E-1
1.205000E-8	1.144693E-1
1.210000E-8	1.116703E-1
1.215000E-8	1.088200E-1
1.220000E-8	1.059559E-1
1.225000E-8	1.033248E-1
1.230000E-8	1.009576E-1
1.235000E-8	9.877869E-2
1.240000E-8	9.685676E-2
1.245000E-8	9.525345E-2
1.250000E-8	9.392078E-2
1.255000E-8	9.285190E-2
1.260000E-8	9.205367E-2
1.265000E-8	9.151238E-2
1.270000E-8	9.114238E-2
1.275000E-8	9.089572E-2
1.280000E-8	9.082377E-2
1.285000E-8	9.092998E-2
1.290000E-8	9.108757E-2
1.295000E-8	9.125201E-2
1.300000E-8	9.148154E-2
1.305000E-8	9.179673E-2
1.310000E-8	9.213246E-2
1.315000E-8	9.246820E-2
1.320000E-8	9.282449E-2
1.325000E-8	9.318078E-2
1.330000E-8	9.351310E-2
1.335000E-8	9.386939E-2
1.340000E-8	9.425994E-2
1.345000E-8	9.468475E-2
1.350000E-8	9.518836E-2
1.355000E-8	9.582900E-2
1.360000E-8	9.655186E-2
1.365000E-8	9.735352E-2
1.370000E-8	9.830592E-2
1.375000E-8	9.937822E-2
1.380000E-8	1.005704E-1
1.385000E-8	1.019442E-1
1.390000E-8	1.033831E-1
1.395000E-8	1.047843E-1
1.400000E-8	1.062780E-1
1.405000E-8	1.078573E-1
1.410000E-8	1.093202E-1
1.415000E-8	1.106837E-1
1.420000E-8	1.120095E-1
1.425000E-8	1.131469E-1
1.430000E-8	1.140582E-1
1.435000E-8	1.148427E-1
1.440000E-8	1.154354E-1
1.445000E-8	1.157643E-1
1.450000E-8	1.158979E-1
1.455000E-8	1.159047E-1
1.460000E-8	1.157437E-1
1.465000E-8	1.153977E-1
1.470000E-8	1.148975E-1
1.475000E-8	1.142774E-1
1.480000E-8	1.135340E-1
1.485000E-8	1.126878E-1
1.490000E-8	1.117799E-1
1.495000E-8	1.108036E-1
1.500000E-8	1.097415E-1
1.505000E-8	1.086213E-1
1.510000E-8	1.074702E-1
1.515000E-8	1.062745E-1
1.520000E-8	1.050412E-1
1.525000E-8	1.038079E-1
1.530000E-8	1.025746E-1
1.535000E-8	1.013001E-1
1.540000E-8	1.000257E-1
1.545000E-8	9.880610E-2
1.550000E-8	9.764129E-2
1.555000E-8	9.654501E-2
1.560000E-8	9.552409E-2
1.565000E-8	9.460253E-2
1.570000E-8	9.382828E-2
1.575000E-8	9.319106E-2
1.580000E-8	9.269431E-2
1.585000E-8	9.235857E-2
1.590000E-8	9.222154E-2
1.595000E-8	9.226265E-2
1.600000E-8	9.247848E-2
1.605000E-8	9.287931E-2
1.610000E-8	9.345486E-2
1.615000E-8	9.416402E-2
1.620000E-8	9.499993E-2
1.625000E-8	9.599001E-2
1.630000E-8	9.709315E-2
1.635000E-8	9.824425E-2
1.640000E-8	9.947072E-2
1.645000E-8	1.007589E-1
1.650000E-8	1.020367E-1
1.655000E-8	1.033009E-1
1.660000E-8	1.045547E-1
1.665000E-8	1.057641E-1
1.670000E-8	1.069049E-1
1.675000E-8	1.080046E-1
1.680000E-8	1.090221E-1
1.685000E-8	1.099026E-1
1.690000E-8	1.106939E-1
