Study Name	CASS
Sample Name	S52-CF8-330C-30khr
Run Name	spot04
Operator	Saleem
Date	5/4/2019
Time	01:32
Sign	FIX
Grating Spacing	6.40 um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	01:33:56
	
Time	Amplitude
0.000000E+0	-3.117560E-4
5.000000E-11	-2.809230E-4
1.000000E-10	-2.329605E-4
1.500000E-10	-1.747204E-4
2.000000E-10	-1.301838E-4
2.500000E-10	-9.249903E-5
3.000000E-10	-4.796246E-5
3.500000E-10	-2.398123E-5
4.000000E-10	-3.083301E-5
4.500000E-10	-1.370356E-5
5.000000E-10	1.712945E-5
5.500000E-10	-6.851780E-6
6.000000E-10	-3.768479E-5
6.500000E-10	-2.398123E-5
7.000000E-10	-3.425890E-6
7.500000E-10	1.027767E-5
8.000000E-10	4.111068E-5
8.500000E-10	8.222136E-5
9.000000E-10	1.130544E-4
9.500000E-10	1.438874E-4
1.000000E-9	1.644427E-4
1.050000E-9	1.404615E-4
1.100000E-9	1.096285E-4
1.150000E-9	8.222136E-5
1.200000E-9	1.027767E-5
1.250000E-9	-1.027767E-4
1.300000E-9	-2.089793E-4
1.350000E-9	-3.151819E-4
1.400000E-9	-4.350880E-4
1.450000E-9	-5.275871E-4
1.500000E-9	-5.755495E-4
1.550000E-9	-6.166602E-4
1.600000E-9	-6.337897E-4
1.650000E-9	-6.132343E-4
1.700000E-9	-5.618460E-4
1.750000E-9	-5.104576E-4
1.800000E-9	-4.453657E-4
1.850000E-9	-4.042550E-4
1.900000E-9	-3.631444E-4
1.950000E-9	-3.117560E-4
2.000000E-9	-2.672194E-4
2.050000E-9	-2.637935E-4
2.100000E-9	-2.535159E-4
2.150000E-9	-2.295346E-4
2.200000E-9	-2.363864E-4
2.250000E-9	-2.432382E-4
2.300000E-9	-2.192570E-4
2.350000E-9	-1.884240E-4
2.400000E-9	-1.712945E-4
2.450000E-9	-1.473133E-4
2.500000E-9	-1.267579E-4
2.550000E-9	-1.130544E-4
2.600000E-9	-9.592492E-5
2.650000E-9	-8.564725E-5
2.700000E-9	-9.249903E-5
2.750000E-9	-1.062026E-4
2.800000E-9	-1.027767E-4
2.850000E-9	-9.249903E-5
2.900000E-9	-7.194369E-5
2.950000E-9	-4.111068E-5
3.000000E-9	-6.851780E-6
3.050000E-9	2.740712E-5
3.100000E-9	8.222136E-5
3.150000E-9	1.336097E-4
3.200000E-9	1.575909E-4
3.250000E-9	1.644427E-4
3.300000E-9	1.678686E-4
3.350000E-9	1.438874E-4
3.400000E-9	9.592492E-5
3.450000E-9	5.481424E-5
3.500000E-9	2.055534E-5
3.550000E-9	-2.398123E-5
3.600000E-9	-7.194369E-5
3.650000E-9	-8.222136E-5
3.700000E-9	-7.194369E-5
3.750000E-9	-4.453657E-5
3.800000E-9	1.027767E-5
3.850000E-9	8.907314E-5
3.900000E-9	1.610168E-4
3.950000E-9	2.192570E-4
4.000000E-9	2.637935E-4
4.050000E-9	2.877748E-4
4.100000E-9	2.877748E-4
4.150000E-9	2.398123E-4
4.200000E-9	1.644427E-4
4.250000E-9	8.907314E-5
4.300000E-9	-3.425890E-6
4.350000E-9	-8.564725E-5
4.400000E-9	-1.404615E-4
4.450000E-9	-1.849981E-4
4.500000E-9	-2.329605E-4
4.550000E-9	-2.672194E-4
4.600000E-9	-2.535159E-4
4.650000E-9	-2.158311E-4
4.700000E-9	-1.815722E-4
4.750000E-9	-1.404615E-4
4.800000E-9	-7.879547E-5
4.850000E-9	-1.370356E-5
4.900000E-9	3.083301E-5
4.950000E-9	6.851780E-5
5.000000E-9	9.249903E-5
5.050000E-9	8.564725E-5
5.100000E-9	7.194369E-5
5.150000E-9	7.879547E-5
5.200000E-9	7.879547E-5
5.250000E-9	6.509191E-5
5.300000E-9	5.138835E-5
5.350000E-9	5.824013E-5
5.400000E-9	4.453657E-5
5.450000E-9	6.851780E-6
5.500000E-9	-3.083301E-5
5.550000E-9	-6.166602E-5
5.600000E-9	-1.267579E-4
5.650000E-9	-2.089793E-4
5.700000E-9	-3.083301E-4
5.750000E-9	-4.316622E-4
5.800000E-9	-5.481424E-4
5.850000E-9	-6.406414E-4
5.900000E-9	-7.297146E-4
5.950000E-9	-8.256395E-4
6.000000E-9	-8.838796E-4
6.050000E-9	-9.010091E-4
6.100000E-9	-8.838796E-4
6.150000E-9	-8.222136E-4
6.200000E-9	-7.262887E-4
6.250000E-9	-6.235120E-4
6.300000E-9	-5.070317E-4
6.350000E-9	-3.631444E-4
6.400000E-9	-2.124052E-4
6.450000E-9	-9.249903E-5
6.500000E-9	-6.851780E-6
6.550000E-9	6.166602E-5
6.600000E-9	1.096285E-4
6.650000E-9	9.935081E-5
6.700000E-9	5.138835E-5
6.750000E-9	2.740712E-5
6.800000E-9	1.712945E-5
6.850000E-9	-1.370356E-5
6.900000E-9	-2.740712E-5
6.950000E-9	3.425890E-6
7.000000E-9	5.138835E-5
7.050000E-9	9.935081E-5
7.100000E-9	1.747204E-4
7.150000E-9	2.637935E-4
7.200000E-9	3.494408E-4
7.250000E-9	4.111068E-4
7.300000E-9	4.248104E-4
7.350000E-9	3.802738E-4
7.400000E-9	2.980524E-4
7.450000E-9	1.712945E-4
7.500000E-9	-6.851780E-6
7.550000E-9	-1.987016E-4
7.600000E-9	-3.665702E-4
7.650000E-9	-5.001800E-4
7.700000E-9	-5.858272E-4
7.750000E-9	-6.372156E-4
7.800000E-9	-6.509191E-4
7.850000E-9	-5.858272E-4
7.900000E-9	-4.419398E-4
7.950000E-9	-2.774971E-4
8.000000E-9	-1.062026E-4
8.050000E-9	5.138835E-5
8.100000E-9	1.610168E-4
8.150000E-9	2.535159E-4
8.200000E-9	3.665702E-4
8.250000E-9	4.213845E-4
8.300000E-9	4.042550E-4
8.350000E-9	3.734220E-4
8.400000E-9	3.357372E-4
8.450000E-9	2.706453E-4
8.500000E-9	2.226829E-4
8.550000E-9	1.952757E-4
8.600000E-9	1.575909E-4
8.650000E-9	1.301838E-4
8.700000E-9	1.370356E-4
8.750000E-9	1.473133E-4
8.800000E-9	1.575909E-4
8.850000E-9	2.055534E-4
8.900000E-9	2.672194E-4
8.950000E-9	3.117560E-4
9.000000E-9	3.357372E-4
9.050000E-9	3.494408E-4
9.100000E-9	3.528667E-4
9.150000E-9	3.528667E-4
9.200000E-9	3.288854E-4
9.250000E-9	2.740712E-4
9.300000E-9	2.226829E-4
9.350000E-9	1.987016E-4
9.400000E-9	1.781463E-4
9.450000E-9	1.575909E-4
9.500000E-9	1.678686E-4
9.550000E-9	2.363864E-4
