Study Name	CASS
Sample Name	S43-CASS-CF8-Unaged-10khr
Run Name	spot07
Operator	Ben/Saleem/Mike
Date	5/3/2019
Time	16:52
Sign	FIX
Grating Spacing	6.40 um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	16:54:49
	
Time	Amplitude
0.000000E+0	1.644427E-4
5.000000E-11	1.575909E-4
1.000000E-10	1.438874E-4
1.500000E-10	9.249903E-5
2.000000E-10	3.083301E-5
2.500000E-10	-2.398123E-5
3.000000E-10	-8.564725E-5
3.500000E-10	-1.404615E-4
4.000000E-10	-1.678686E-4
4.500000E-10	-2.158311E-4
5.000000E-10	-2.637935E-4
5.500000E-10	-2.535159E-4
6.000000E-10	-2.261087E-4
6.500000E-10	-2.261087E-4
7.000000E-10	-2.192570E-4
7.500000E-10	-1.712945E-4
8.000000E-10	-1.336097E-4
8.500000E-10	-1.062026E-4
9.000000E-10	-6.851780E-5
9.500000E-10	-2.398123E-5
1.000000E-9	-6.851780E-6
1.050000E-9	0.000000E+0
1.100000E-9	3.083301E-5
1.150000E-9	5.481424E-5
1.200000E-9	6.166602E-5
1.250000E-9	8.564725E-5
1.300000E-9	1.096285E-4
1.350000E-9	1.096285E-4
1.400000E-9	1.164803E-4
1.450000E-9	1.438874E-4
1.500000E-9	1.575909E-4
1.550000E-9	1.438874E-4
1.600000E-9	1.473133E-4
1.650000E-9	1.781463E-4
1.700000E-9	1.815722E-4
1.750000E-9	1.610168E-4
1.800000E-9	1.438874E-4
1.850000E-9	1.507392E-4
1.900000E-9	1.438874E-4
1.950000E-9	1.438874E-4
2.000000E-9	1.473133E-4
2.050000E-9	1.336097E-4
2.100000E-9	1.199062E-4
2.150000E-9	1.404615E-4
2.200000E-9	1.473133E-4
2.250000E-9	1.199062E-4
2.300000E-9	1.062026E-4
2.350000E-9	1.062026E-4
2.400000E-9	9.249903E-5
2.450000E-9	7.879547E-5
2.500000E-9	6.166602E-5
2.550000E-9	2.740712E-5
2.600000E-9	-1.370356E-5
2.650000E-9	-2.398123E-5
2.700000E-9	-4.111068E-5
2.750000E-9	-8.222136E-5
