Study Name	Steel-Set-1st-Attempt
Sample Name	K25CF8MUA30kCtr
Run Name	spot02
Operator	Saleem
Date	3/26/2019
Time	00:23
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	00:24:54
	
Time	Amplitude
0.000000E+0	-4.607836E-4
5.000000E-11	-4.522188E-4
1.000000E-10	-4.111080E-4
1.500000E-10	-3.271735E-4
2.000000E-10	-2.192576E-4
2.500000E-10	-1.113418E-4
3.000000E-10	-1.712950E-5
3.500000E-10	8.222160E-5
4.000000E-10	1.918504E-4
4.500000E-10	2.774979E-4
5.000000E-10	3.203217E-4
5.500000E-10	3.477289E-4
6.000000E-10	3.477289E-4
6.500000E-10	3.083310E-4
7.000000E-10	2.535166E-4
7.500000E-10	1.918504E-4
8.000000E-10	1.044900E-4
8.500000E-10	-3.425900E-6
9.000000E-10	-1.079159E-4
9.500000E-10	-2.089799E-4
1.000000E-9	-3.168958E-4
1.050000E-9	-4.093951E-4
1.100000E-9	-4.727742E-4
1.150000E-9	-5.155980E-4
1.200000E-9	-5.275886E-4
1.250000E-9	-5.001814E-4
1.300000E-9	-4.453670E-4
1.350000E-9	-3.837008E-4
1.400000E-9	-3.100440E-4
1.450000E-9	-2.192576E-4
1.500000E-9	-1.267583E-4
1.550000E-9	-4.796260E-5
1.600000E-9	-3.425900E-6
1.650000E-9	5.138850E-6
1.700000E-9	-8.564750E-6
1.750000E-9	-4.967555E-5
1.800000E-9	-1.079159E-4
1.850000E-9	-1.695821E-4
1.900000E-9	-2.346742E-4
1.950000E-9	-3.117569E-4
2.000000E-9	-3.888397E-4
2.050000E-9	-4.487929E-4
2.100000E-9	-4.693483E-4
2.150000E-9	-4.419411E-4
2.200000E-9	-3.871267E-4
2.250000E-9	-3.254605E-4
2.300000E-9	-2.518037E-4
2.350000E-9	-1.815727E-4
2.400000E-9	-1.199065E-4
2.450000E-9	-6.509210E-5
2.500000E-9	-1.712950E-5
2.550000E-9	1.541655E-5
2.600000E-9	2.569425E-5
2.650000E-9	2.740720E-5
2.700000E-9	1.370360E-5
2.750000E-9	-1.199065E-5
2.800000E-9	-3.939785E-5
2.850000E-9	-5.824030E-5
2.900000E-9	-7.879570E-5
2.950000E-9	-1.079159E-4
3.000000E-9	-1.267583E-4
3.050000E-9	-1.404619E-4
3.100000E-9	-1.507396E-4
3.150000E-9	-1.507396E-4
3.200000E-9	-1.490267E-4
3.250000E-9	-1.747209E-4
3.300000E-9	-2.141188E-4
3.350000E-9	-2.329612E-4
3.400000E-9	-2.346742E-4
3.450000E-9	-2.569425E-4
3.500000E-9	-2.894886E-4
3.550000E-9	-3.083310E-4
3.600000E-9	-3.134699E-4
3.650000E-9	-3.151828E-4
3.700000E-9	-3.254605E-4
3.750000E-9	-3.494418E-4
3.800000E-9	-3.494418E-4
3.850000E-9	-3.151828E-4
3.900000E-9	-2.946274E-4
3.950000E-9	-2.792109E-4
4.000000E-9	-2.586555E-4
4.050000E-9	-2.586555E-4
4.100000E-9	-2.877756E-4
4.150000E-9	-3.186087E-4
4.200000E-9	-3.511548E-4
4.250000E-9	-3.974044E-4
4.300000E-9	-4.453670E-4
4.350000E-9	-4.796260E-4
4.400000E-9	-4.864778E-4
4.450000E-9	-4.573577E-4
4.500000E-9	-4.128210E-4
4.550000E-9	-3.443030E-4
4.600000E-9	-2.346742E-4
4.650000E-9	-8.736045E-5
4.700000E-9	5.652735E-5
4.750000E-9	1.798598E-4
4.800000E-9	2.997663E-4
4.850000E-9	4.025433E-4
4.900000E-9	4.470800E-4
4.950000E-9	4.453670E-4
5.000000E-9	4.248116E-4
5.050000E-9	3.580066E-4
5.100000E-9	2.346742E-4
5.150000E-9	9.249930E-5
5.200000E-9	-3.768490E-5
5.250000E-9	-1.781468E-4
5.300000E-9	-3.203217E-4
5.350000E-9	-4.333764E-4
5.400000E-9	-5.155980E-4
5.450000E-9	-5.806901E-4
5.500000E-9	-6.303656E-4
5.550000E-9	-6.423563E-4
5.600000E-9	-6.132361E-4
5.650000E-9	-5.635606E-4
5.700000E-9	-5.155980E-4
5.750000E-9	-4.727742E-4
5.800000E-9	-4.196728E-4
5.850000E-9	-3.631454E-4
5.900000E-9	-3.425900E-4
5.950000E-9	-3.511548E-4
6.000000E-9	-3.562936E-4
6.050000E-9	-3.768490E-4
6.100000E-9	-4.179598E-4
6.150000E-9	-4.453670E-4
6.200000E-9	-4.624965E-4
6.250000E-9	-4.830519E-4
6.300000E-9	-4.881908E-4
6.350000E-9	-4.607836E-4
6.400000E-9	-4.179598E-4
6.450000E-9	-3.580066E-4
6.500000E-9	-2.963404E-4
6.550000E-9	-2.552296E-4
6.600000E-9	-2.346742E-4
6.650000E-9	-2.329612E-4
6.700000E-9	-2.655073E-4
6.750000E-9	-3.305994E-4
6.800000E-9	-3.939785E-4
6.850000E-9	-4.573577E-4
6.900000E-9	-5.207368E-4
6.950000E-9	-5.704124E-4
7.000000E-9	-6.012455E-4
7.050000E-9	-6.046714E-4
7.100000E-9	-5.806901E-4
7.150000E-9	-5.293016E-4
7.200000E-9	-4.470800E-4
7.250000E-9	-3.288864E-4
7.300000E-9	-1.867116E-4
7.350000E-9	-4.624965E-5
7.400000E-9	8.907340E-5
7.450000E-9	2.021281E-4
7.500000E-9	2.774979E-4
7.550000E-9	3.168958E-4
7.600000E-9	3.271735E-4
7.650000E-9	2.929145E-4
7.700000E-9	2.072670E-4
7.750000E-9	1.044900E-4
7.800000E-9	3.425900E-6
7.850000E-9	-1.250454E-4
7.900000E-9	-2.603684E-4
7.950000E-9	-3.648584E-4
8.000000E-9	-4.402282E-4
8.050000E-9	-4.950426E-4
8.100000E-9	-5.104591E-4
8.150000E-9	-4.864778E-4
8.200000E-9	-4.453670E-4
8.250000E-9	-3.905526E-4
8.300000E-9	-3.288864E-4
8.350000E-9	-2.689332E-4
8.400000E-9	-2.089799E-4
8.450000E-9	-1.627303E-4
8.500000E-9	-1.644432E-4
8.550000E-9	-2.004152E-4
8.600000E-9	-2.415260E-4
8.650000E-9	-3.049051E-4
8.700000E-9	-3.871267E-4
8.750000E-9	-4.453670E-4
8.800000E-9	-4.727742E-4
8.850000E-9	-4.864778E-4
8.900000E-9	-4.796260E-4
8.950000E-9	-4.470800E-4
9.000000E-9	-3.939785E-4
9.050000E-9	-3.203217E-4
9.100000E-9	-2.415260E-4
9.150000E-9	-1.747209E-4
9.200000E-9	-1.010641E-4
9.250000E-9	-2.398130E-5
9.300000E-9	3.254605E-5
9.350000E-9	6.680505E-5
9.400000E-9	1.010641E-4
9.450000E-9	1.387490E-4
9.500000E-9	1.901375E-4
9.550000E-9	2.518037E-4
9.600000E-9	3.220346E-4
9.650000E-9	4.025433E-4
9.700000E-9	5.190239E-4
9.750000E-9	6.766153E-4
9.800000E-9	8.239290E-4
9.850000E-9	9.746686E-4
9.900000E-9	1.240176E-3
9.950000E-9	1.591331E-3
1.000000E-8	1.976744E-3
1.005000E-8	2.554009E-3
1.010000E-8	3.437891E-3
1.015000E-8	4.577003E-3
1.020000E-8	6.048427E-3
1.025000E-8	7.984060E-3
1.030000E-8	1.037020E-2
1.035000E-8	1.320856E-2
1.040000E-8	1.653682E-2
1.045000E-8	2.022651E-2
1.050000E-8	2.414917E-2
1.055000E-8	2.830136E-2
1.060000E-8	3.252892E-2
1.065000E-8	3.660917E-2
1.070000E-8	4.051641E-2
1.075000E-8	4.420096E-2
