Study Name	Steel-Set-1st-Attempt
Sample Name	K25CF8M33030k
Run Name	spot08
Operator	Saleem
Date	3/25/2019
Time	23:06
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	23:08:17
	
Time	Amplitude
0.000000E+0	-3.151828E-4
5.000000E-11	-2.586555E-4
1.000000E-10	-1.849986E-4
1.500000E-10	-9.421225E-5
2.000000E-10	6.851800E-6
2.500000E-10	8.907340E-5
3.000000E-10	1.541655E-4
3.500000E-10	2.106929E-4
4.000000E-10	2.363871E-4
4.500000E-10	2.243965E-4
5.000000E-10	2.021281E-4
5.500000E-10	1.644432E-4
6.000000E-10	1.044900E-4
6.500000E-10	4.282375E-5
7.000000E-10	-1.884245E-5
7.500000E-10	-9.249930E-5
8.000000E-10	-1.695821E-4
8.500000E-10	-2.398130E-4
9.000000E-10	-3.014792E-4
9.500000E-10	-3.374512E-4
1.000000E-9	-3.391641E-4
1.050000E-9	-3.323123E-4
1.100000E-9	-3.203217E-4
1.150000E-9	-2.672202E-4
1.200000E-9	-2.004152E-4
1.250000E-9	-1.438878E-4
1.300000E-9	-7.365685E-5
1.350000E-9	6.851800E-6
1.400000E-9	7.536980E-5
1.450000E-9	1.301842E-4
1.500000E-9	1.764339E-4
1.550000E-9	1.987022E-4
1.600000E-9	2.072670E-4
1.650000E-9	2.089799E-4
1.700000E-9	1.781468E-4
1.750000E-9	1.250454E-4
1.800000E-9	7.194390E-5
1.850000E-9	1.199065E-5
1.900000E-9	-6.509210E-5
1.950000E-9	-1.387490E-4
2.000000E-9	-1.867116E-4
2.050000E-9	-2.243965E-4
2.100000E-9	-2.655073E-4
2.150000E-9	-2.877756E-4
2.200000E-9	-2.860627E-4
2.250000E-9	-2.826368E-4
2.300000E-9	-2.723591E-4
2.350000E-9	-2.346742E-4
2.400000E-9	-1.798598E-4
2.450000E-9	-1.336101E-4
2.500000E-9	-9.763815E-5
2.550000E-9	-6.851800E-5
2.600000E-9	-5.310145E-5
2.650000E-9	-4.453670E-5
2.700000E-9	-2.569425E-5
2.750000E-9	-2.055540E-5
2.800000E-9	-3.425900E-5
2.850000E-9	-2.055540E-5
2.900000E-9	2.226835E-5
2.950000E-9	4.624965E-5
3.000000E-9	7.536980E-5
3.050000E-9	1.507396E-4
3.100000E-9	2.261094E-4
3.150000E-9	2.877756E-4
3.200000E-9	3.665713E-4
3.250000E-9	4.299505E-4
3.300000E-9	4.607836E-4
3.350000E-9	4.864778E-4
3.400000E-9	4.984685E-4
