Study Name	Steel-Set-1st-Attempt
Sample Name	S43CF8290C10k
Run Name	spot08
Operator	Saleem Aldajani
Date	3/25/2019
Time	13:46
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:48:04
	
Time	Amplitude
0.000000E+0	-2.860627E-4
5.000000E-11	-2.226835E-4
1.000000E-10	-1.952763E-4
1.500000E-10	-1.832857E-4
2.000000E-10	-1.969893E-4
2.500000E-10	-2.363871E-4
3.000000E-10	-2.655073E-4
3.500000E-10	-2.912015E-4
4.000000E-10	-3.374512E-4
4.500000E-10	-3.785620E-4
5.000000E-10	-3.956915E-4
5.500000E-10	-4.196728E-4
6.000000E-10	-4.436541E-4
6.500000E-10	-4.522188E-4
7.000000E-10	-4.590706E-4
7.500000E-10	-4.727742E-4
8.000000E-10	-4.796260E-4
8.500000E-10	-4.864778E-4
9.000000E-10	-5.018944E-4
9.500000E-10	-5.138850E-4
1.000000E-9	-5.104591E-4
1.050000E-9	-5.053203E-4
1.100000E-9	-4.984685E-4
1.150000E-9	-4.779131E-4
1.200000E-9	-4.470800E-4
1.250000E-9	-4.230987E-4
1.300000E-9	-4.111080E-4
1.350000E-9	-4.128210E-4
1.400000E-9	-4.316634E-4
1.450000E-9	-4.607836E-4
1.500000E-9	-4.899037E-4
1.550000E-9	-5.395793E-4
1.600000E-9	-6.132361E-4
1.650000E-9	-6.954577E-4
1.700000E-9	-7.588369E-4
1.750000E-9	-8.033736E-4
1.800000E-9	-8.410585E-4
1.850000E-9	-8.513362E-4
1.900000E-9	-8.187901E-4
1.950000E-9	-7.554110E-4
2.000000E-9	-6.886059E-4
2.050000E-9	-6.166620E-4
2.100000E-9	-5.327275E-4
2.150000E-9	-4.487929E-4
2.200000E-9	-3.819879E-4
2.250000E-9	-3.477289E-4
2.300000E-9	-3.425900E-4
2.350000E-9	-3.597195E-4
2.400000E-9	-3.888397E-4
2.450000E-9	-4.368023E-4
2.500000E-9	-5.070332E-4
2.550000E-9	-5.961066E-4
2.600000E-9	-6.834671E-4
2.650000E-9	-7.519851E-4
2.700000E-9	-8.033736E-4
2.750000E-9	-8.307808E-4
2.800000E-9	-8.102254E-4
2.850000E-9	-7.399944E-4
2.900000E-9	-6.372174E-4
2.950000E-9	-5.207368E-4
3.000000E-9	-3.802749E-4
3.050000E-9	-2.141188E-4
3.100000E-9	-5.824030E-5
3.150000E-9	6.851800E-5
3.200000E-9	1.730080E-4
3.250000E-9	2.552296E-4
3.300000E-9	2.946274E-4
3.350000E-9	2.792109E-4
3.400000E-9	2.243965E-4
3.450000E-9	1.490267E-4
3.500000E-9	4.453670E-5
3.550000E-9	-7.708275E-5
3.600000E-9	-1.764339E-4
3.650000E-9	-2.620814E-4
3.700000E-9	-3.271735E-4
3.750000E-9	-3.665713E-4
3.800000E-9	-3.905526E-4
3.850000E-9	-4.093951E-4
3.900000E-9	-3.939785E-4
3.950000E-9	-3.511548E-4
4.000000E-9	-3.271735E-4
4.050000E-9	-3.186087E-4
4.100000E-9	-2.946274E-4
4.150000E-9	-2.826368E-4
4.200000E-9	-3.031922E-4
4.250000E-9	-3.237476E-4
4.300000E-9	-3.271735E-4
4.350000E-9	-3.254605E-4
4.400000E-9	-3.254605E-4
4.450000E-9	-3.083310E-4
4.500000E-9	-2.655073E-4
4.550000E-9	-2.072670E-4
4.600000E-9	-1.524526E-4
4.650000E-9	-1.130547E-4
4.700000E-9	-8.907340E-5
4.750000E-9	-8.393455E-5
4.800000E-9	-9.249930E-5
4.850000E-9	-9.421225E-5
4.900000E-9	-1.062029E-4
4.950000E-9	-1.473137E-4
5.000000E-9	-2.004152E-4
5.050000E-9	-2.500907E-4
5.100000E-9	-3.100440E-4
5.150000E-9	-3.751361E-4
5.200000E-9	-4.333764E-4
5.250000E-9	-4.796260E-4
5.300000E-9	-5.190239E-4
5.350000E-9	-5.464311E-4
5.400000E-9	-5.498570E-4
5.450000E-9	-5.430052E-4
5.500000E-9	-5.412922E-4
5.550000E-9	-5.293016E-4
5.600000E-9	-4.830519E-4
5.650000E-9	-4.230987E-4
5.700000E-9	-3.717102E-4
5.750000E-9	-3.237476E-4
5.800000E-9	-2.723591E-4
5.850000E-9	-2.226835E-4
5.900000E-9	-1.952763E-4
5.950000E-9	-1.969893E-4
6.000000E-9	-2.192576E-4
6.050000E-9	-2.552296E-4
6.100000E-9	-3.117569E-4
6.150000E-9	-3.785620E-4
6.200000E-9	-4.487929E-4
6.250000E-9	-5.190239E-4
6.300000E-9	-5.686994E-4
6.350000E-9	-5.841160E-4
6.400000E-9	-5.824030E-4
6.450000E-9	-5.806901E-4
6.500000E-9	-5.584217E-4
6.550000E-9	-4.933296E-4
6.600000E-9	-4.025433E-4
6.650000E-9	-3.117569E-4
6.700000E-9	-2.278224E-4
6.750000E-9	-1.541655E-4
6.800000E-9	-1.010641E-4
6.850000E-9	-6.166620E-5
6.900000E-9	-5.138850E-5
6.950000E-9	-7.879570E-5
7.000000E-9	-1.267583E-4
7.050000E-9	-1.901375E-4
7.100000E-9	-2.689332E-4
7.150000E-9	-3.391641E-4
7.200000E-9	-3.922656E-4
7.250000E-9	-4.453670E-4
7.300000E-9	-4.933296E-4
7.350000E-9	-5.104591E-4
7.400000E-9	-4.950426E-4
7.450000E-9	-4.744872E-4
7.500000E-9	-4.487929E-4
7.550000E-9	-3.888397E-4
7.600000E-9	-3.203217E-4
7.650000E-9	-2.689332E-4
7.700000E-9	-2.226835E-4
7.750000E-9	-1.747209E-4
7.800000E-9	-1.456008E-4
7.850000E-9	-1.456008E-4
7.900000E-9	-1.764339E-4
7.950000E-9	-2.209706E-4
8.000000E-9	-2.637943E-4
8.050000E-9	-3.117569E-4
8.100000E-9	-3.545807E-4
8.150000E-9	-3.854138E-4
8.200000E-9	-4.179598E-4
8.250000E-9	-4.179598E-4
8.300000E-9	-3.819879E-4
8.350000E-9	-3.580066E-4
8.400000E-9	-3.391641E-4
8.450000E-9	-2.860627E-4
8.500000E-9	-2.329612E-4
8.550000E-9	-2.141188E-4
8.600000E-9	-2.158317E-4
8.650000E-9	-2.398130E-4
8.700000E-9	-2.912015E-4
8.750000E-9	-3.443030E-4
8.800000E-9	-3.939785E-4
8.850000E-9	-4.590706E-4
8.900000E-9	-5.207368E-4
8.950000E-9	-5.515699E-4
9.000000E-9	-5.721253E-4
9.050000E-9	-5.875419E-4
9.100000E-9	-5.738383E-4
9.150000E-9	-5.224498E-4
9.200000E-9	-4.487929E-4
9.250000E-9	-3.699972E-4
9.300000E-9	-2.912015E-4
9.350000E-9	-2.055540E-4
9.400000E-9	-1.216195E-4
9.450000E-9	-3.597195E-5
9.500000E-9	4.967555E-5
9.550000E-9	1.473137E-4
9.600000E-9	2.415260E-4
9.650000E-9	3.031922E-4
9.700000E-9	3.408771E-4
9.750000E-9	3.768490E-4
9.800000E-9	3.905526E-4
9.850000E-9	3.802749E-4
9.900000E-9	4.487929E-4
9.950000E-9	6.029584E-4
1.000000E-8	7.793923E-4
1.005000E-8	1.096288E-3
1.010000E-8	1.673552E-3
1.015000E-8	2.478639E-3
1.020000E-8	3.578353E-3
1.025000E-8	5.114869E-3
1.030000E-8	7.067632E-3
1.035000E-8	9.400670E-3
1.040000E-8	1.217394E-2
1.045000E-8	1.531377E-2
1.050000E-8	1.869514E-2
1.055000E-8	2.231974E-2
1.060000E-8	2.609508E-2
1.065000E-8	2.983788E-2
1.070000E-8	3.351387E-2
1.075000E-8	3.710250E-2
1.080000E-8	4.046844E-2
1.085000E-8	4.357574E-2
1.090000E-8	4.648090E-2
1.095000E-8	4.911199E-2
1.100000E-8	5.142961E-2
1.105000E-8	5.354339E-2
1.110000E-8	5.547046E-2
1.115000E-8	5.716114E-2
1.120000E-8	5.868738E-2
1.125000E-8	6.004575E-2
1.130000E-8	6.116431E-2
1.135000E-8	6.209101E-2
1.140000E-8	6.288240E-2
1.145000E-8	6.346480E-2
1.150000E-8	6.377142E-2
1.155000E-8	6.382623E-2
1.160000E-8	6.365322E-2
1.165000E-8	6.321471E-2
1.170000E-8	6.251754E-2
1.175000E-8	6.167648E-2
1.180000E-8	6.073950E-2
1.185000E-8	5.966205E-2
1.190000E-8	5.847498E-2
1.195000E-8	5.728790E-2
1.200000E-8	5.612138E-2
1.205000E-8	5.495658E-2
1.210000E-8	5.386029E-2
1.215000E-8	5.287192E-2
1.220000E-8	5.196063E-2
1.225000E-8	5.115040E-2
1.230000E-8	5.046351E-2
1.235000E-8	4.985884E-2
1.240000E-8	4.927301E-2
1.245000E-8	4.873514E-2
1.250000E-8	4.825209E-2
1.255000E-8	4.777589E-2
