Study Name	Steel-Set-1st-Attempt
Sample Name	K23CF8MUA10kCtr
Run Name	spot09
Operator	Saleem Aldajani
Date	3/25/2019
Time	17:49
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	17:51:08
	
Time	Amplitude
0.000000E+0	-1.730080E-4
5.000000E-11	-1.935634E-4
1.000000E-10	-2.124058E-4
1.500000E-10	-2.209706E-4
2.000000E-10	-2.243965E-4
2.500000E-10	-2.175447E-4
3.000000E-10	-2.055540E-4
3.500000E-10	-1.935634E-4
4.000000E-10	-1.815727E-4
4.500000E-10	-1.661562E-4
5.000000E-10	-1.456008E-4
5.500000E-10	-1.301842E-4
6.000000E-10	-1.250454E-4
6.500000E-10	-1.284713E-4
7.000000E-10	-1.404619E-4
7.500000E-10	-1.610173E-4
8.000000E-10	-1.712950E-4
8.500000E-10	-1.678691E-4
9.000000E-10	-1.627303E-4
9.500000E-10	-1.541655E-4
1.000000E-9	-1.387490E-4
1.050000E-9	-1.147677E-4
1.100000E-9	-7.194390E-5
1.150000E-9	-2.740720E-5
1.200000E-9	3.425900E-6
1.250000E-9	2.569425E-5
1.300000E-9	4.111080E-5
1.350000E-9	3.768490E-5
1.400000E-9	3.425900E-6
1.450000E-9	-5.481440E-5
1.500000E-9	-1.216195E-4
1.550000E-9	-1.901375E-4
1.600000E-9	-2.620814E-4
1.650000E-9	-3.220346E-4
1.700000E-9	-3.631454E-4
1.750000E-9	-3.922656E-4
1.800000E-9	-3.939785E-4
1.850000E-9	-3.614325E-4
1.900000E-9	-3.186087E-4
1.950000E-9	-2.740720E-4
2.000000E-9	-2.141188E-4
2.050000E-9	-1.490267E-4
2.100000E-9	-1.096288E-4
2.150000E-9	-1.027770E-4
2.200000E-9	-1.267583E-4
2.250000E-9	-1.764339E-4
2.300000E-9	-2.346742E-4
2.350000E-9	-2.843497E-4
2.400000E-9	-3.460159E-4
2.450000E-9	-4.213857E-4
2.500000E-9	-4.744872E-4
2.550000E-9	-4.899037E-4
2.600000E-9	-4.796260E-4
2.650000E-9	-4.453670E-4
2.700000E-9	-3.905526E-4
2.750000E-9	-3.391641E-4
2.800000E-9	-2.826368E-4
2.850000E-9	-2.106929E-4
2.900000E-9	-1.507396E-4
2.950000E-9	-1.164806E-4
3.000000E-9	-9.592520E-5
3.050000E-9	-8.907340E-5
3.100000E-9	-1.062029E-4
3.150000E-9	-1.353231E-4
3.200000E-9	-1.593044E-4
3.250000E-9	-1.798598E-4
3.300000E-9	-1.918504E-4
3.350000E-9	-2.004152E-4
3.400000E-9	-2.209706E-4
3.450000E-9	-2.449519E-4
3.500000E-9	-2.535166E-4
3.550000E-9	-2.518037E-4
3.600000E-9	-2.672202E-4
3.650000E-9	-2.980533E-4
3.700000E-9	-3.186087E-4
3.750000E-9	-3.323123E-4
3.800000E-9	-3.460159E-4
3.850000E-9	-3.494418E-4
3.900000E-9	-3.374512E-4
3.950000E-9	-3.117569E-4
4.000000E-9	-2.809238E-4
4.050000E-9	-2.483778E-4
4.100000E-9	-2.072670E-4
4.150000E-9	-1.661562E-4
4.200000E-9	-1.387490E-4
4.250000E-9	-1.147677E-4
4.300000E-9	-8.393455E-5
4.350000E-9	-5.995325E-5
4.400000E-9	-5.481440E-5
4.450000E-9	-6.680505E-5
4.500000E-9	-8.222160E-5
4.550000E-9	-9.935110E-5
4.600000E-9	-1.318972E-4
4.650000E-9	-1.798598E-4
4.700000E-9	-2.261094E-4
4.750000E-9	-2.655073E-4
4.800000E-9	-3.014792E-4
4.850000E-9	-3.271735E-4
4.900000E-9	-3.374512E-4
4.950000E-9	-3.425900E-4
5.000000E-9	-3.391641E-4
5.050000E-9	-3.134699E-4
5.100000E-9	-2.706461E-4
5.150000E-9	-2.209706E-4
5.200000E-9	-1.575914E-4
5.250000E-9	-8.907340E-5
5.300000E-9	-3.083310E-5
5.350000E-9	1.541655E-5
5.400000E-9	4.282375E-5
5.450000E-9	4.111080E-5
5.500000E-9	2.569425E-5
5.550000E-9	-3.425900E-6
5.600000E-9	-7.023095E-5
5.650000E-9	-1.627303E-4
5.700000E-9	-2.500907E-4
5.750000E-9	-3.391641E-4
5.800000E-9	-4.265246E-4
5.850000E-9	-4.984685E-4
5.900000E-9	-5.464311E-4
5.950000E-9	-5.652735E-4
6.000000E-9	-5.447181E-4
6.050000E-9	-4.864778E-4
6.100000E-9	-4.093951E-4
6.150000E-9	-3.305994E-4
6.200000E-9	-2.500907E-4
6.250000E-9	-1.695821E-4
6.300000E-9	-9.935110E-5
6.350000E-9	-6.166620E-5
6.400000E-9	-6.337915E-5
6.450000E-9	-9.421225E-5
6.500000E-9	-1.404619E-4
6.550000E-9	-2.124058E-4
6.600000E-9	-2.929145E-4
6.650000E-9	-3.494418E-4
6.700000E-9	-3.905526E-4
6.750000E-9	-4.333764E-4
6.800000E-9	-4.556447E-4
6.850000E-9	-4.402282E-4
6.900000E-9	-4.042562E-4
6.950000E-9	-3.562936E-4
7.000000E-9	-3.049051E-4
7.050000E-9	-2.518037E-4
7.100000E-9	-2.004152E-4
7.150000E-9	-1.507396E-4
7.200000E-9	-1.199065E-4
