Study Name	Steel-Set-1st-Attempt
Sample Name	K25CF8M36030k
Run Name	spot04
Operator	Saleem
Date	3/25/2019
Time	22:05
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	22:07:09
	
Time	Amplitude
0.000000E+0	-2.158317E-4
5.000000E-11	-2.106929E-4
1.000000E-10	-1.918504E-4
1.500000E-10	-1.695821E-4
2.000000E-10	-1.438878E-4
2.500000E-10	-1.096288E-4
3.000000E-10	-8.050865E-5
3.500000E-10	-5.995325E-5
4.000000E-10	-4.111080E-5
4.500000E-10	-3.425900E-5
5.000000E-10	-4.796260E-5
5.500000E-10	-7.194390E-5
6.000000E-10	-9.421225E-5
6.500000E-10	-1.216195E-4
7.000000E-10	-1.490267E-4
7.500000E-10	-1.730080E-4
8.000000E-10	-1.935634E-4
8.500000E-10	-2.021281E-4
9.000000E-10	-1.987022E-4
9.500000E-10	-1.952763E-4
1.000000E-9	-2.004152E-4
1.050000E-9	-2.072670E-4
1.100000E-9	-2.175447E-4
1.150000E-9	-2.329612E-4
1.200000E-9	-2.518037E-4
1.250000E-9	-2.740720E-4
1.300000E-9	-3.031922E-4
1.350000E-9	-3.443030E-4
1.400000E-9	-3.888397E-4
1.450000E-9	-4.162469E-4
1.500000E-9	-4.316634E-4
1.550000E-9	-4.470800E-4
1.600000E-9	-4.470800E-4
1.650000E-9	-4.282375E-4
1.700000E-9	-4.059692E-4
1.750000E-9	-3.699972E-4
1.800000E-9	-3.134699E-4
1.850000E-9	-2.569425E-4
1.900000E-9	-2.089799E-4
1.950000E-9	-1.490267E-4
2.000000E-9	-8.050865E-5
2.050000E-9	-2.398130E-5
2.100000E-9	2.569425E-5
2.150000E-9	7.365685E-5
2.200000E-9	1.010641E-4
2.250000E-9	1.010641E-4
2.300000E-9	8.050865E-5
2.350000E-9	4.111080E-5
2.400000E-9	-2.226835E-5
2.450000E-9	-9.592520E-5
2.500000E-9	-1.730080E-4
2.550000E-9	-2.586555E-4
2.600000E-9	-3.545807E-4
2.650000E-9	-4.539318E-4
2.700000E-9	-5.481440E-4
2.750000E-9	-6.320786E-4
2.800000E-9	-7.074484E-4
2.850000E-9	-7.708275E-4
2.900000E-9	-8.170772E-4
2.950000E-9	-8.410585E-4
3.000000E-9	-8.547621E-4
3.050000E-9	-8.650398E-4
3.100000E-9	-8.718916E-4
3.150000E-9	-8.684657E-4
3.200000E-9	-8.461973E-4
3.250000E-9	-8.085124E-4
3.300000E-9	-7.571239E-4
3.350000E-9	-6.954577E-4
3.400000E-9	-6.252268E-4
3.450000E-9	-5.601347E-4
3.500000E-9	-4.881908E-4
3.550000E-9	-4.145339E-4
3.600000E-9	-3.477289E-4
3.650000E-9	-2.980533E-4
3.700000E-9	-2.723591E-4
3.750000E-9	-2.586555E-4
3.800000E-9	-2.620814E-4
3.850000E-9	-2.894886E-4
3.900000E-9	-3.254605E-4
3.950000E-9	-3.682843E-4
4.000000E-9	-4.162469E-4
4.050000E-9	-4.556447E-4
4.100000E-9	-4.762001E-4
4.150000E-9	-4.916167E-4
4.200000E-9	-5.036073E-4
4.250000E-9	-4.881908E-4
4.300000E-9	-4.642095E-4
4.350000E-9	-4.487929E-4
4.400000E-9	-4.282375E-4
4.450000E-9	-3.974044E-4
4.500000E-9	-3.751361E-4
4.550000E-9	-3.648584E-4
4.600000E-9	-3.580066E-4
4.650000E-9	-3.545807E-4
4.700000E-9	-3.614325E-4
4.750000E-9	-3.751361E-4
4.800000E-9	-3.956915E-4
4.850000E-9	-4.179598E-4
4.900000E-9	-4.282375E-4
4.950000E-9	-4.350893E-4
5.000000E-9	-4.487929E-4
5.050000E-9	-4.607836E-4
5.100000E-9	-4.676354E-4
5.150000E-9	-4.727742E-4
5.200000E-9	-4.796260E-4
5.250000E-9	-4.950426E-4
5.300000E-9	-5.155980E-4
5.350000E-9	-5.275886E-4
5.400000E-9	-5.275886E-4
5.450000E-9	-5.190239E-4
5.500000E-9	-5.001814E-4
5.550000E-9	-4.744872E-4
5.600000E-9	-4.453670E-4
5.650000E-9	-4.059692E-4
5.700000E-9	-3.545807E-4
5.750000E-9	-3.100440E-4
5.800000E-9	-2.792109E-4
5.850000E-9	-2.569425E-4
5.900000E-9	-2.381001E-4
5.950000E-9	-2.243965E-4
6.000000E-9	-2.192576E-4
6.050000E-9	-2.226835E-4
6.100000E-9	-2.329612E-4
6.150000E-9	-2.518037E-4
6.200000E-9	-2.689332E-4
6.250000E-9	-2.860627E-4
6.300000E-9	-3.117569E-4
6.350000E-9	-3.254605E-4
6.400000E-9	-3.186087E-4
6.450000E-9	-3.031922E-4
6.500000E-9	-2.877756E-4
6.550000E-9	-2.740720E-4
6.600000E-9	-2.637943E-4
6.650000E-9	-2.552296E-4
6.700000E-9	-2.466648E-4
6.750000E-9	-2.535166E-4
6.800000E-9	-2.689332E-4
6.850000E-9	-2.740720E-4
6.900000E-9	-2.774979E-4
6.950000E-9	-2.843497E-4
7.000000E-9	-2.877756E-4
7.050000E-9	-2.843497E-4
7.100000E-9	-2.860627E-4
7.150000E-9	-2.826368E-4
7.200000E-9	-2.637943E-4
7.250000E-9	-2.500907E-4
7.300000E-9	-2.432389E-4
7.350000E-9	-2.312483E-4
7.400000E-9	-2.175447E-4
7.450000E-9	-2.158317E-4
7.500000E-9	-2.192576E-4
7.550000E-9	-2.226835E-4
7.600000E-9	-2.346742E-4
7.650000E-9	-2.569425E-4
7.700000E-9	-2.894886E-4
7.750000E-9	-3.237476E-4
7.800000E-9	-3.511548E-4
7.850000E-9	-3.699972E-4
7.900000E-9	-3.802749E-4
7.950000E-9	-3.768490E-4
8.000000E-9	-3.597195E-4
8.050000E-9	-3.288864E-4
8.100000E-9	-2.946274E-4
8.150000E-9	-2.620814E-4
8.200000E-9	-2.363871E-4
8.250000E-9	-2.243965E-4
8.300000E-9	-2.209706E-4
8.350000E-9	-2.261094E-4
8.400000E-9	-2.586555E-4
8.450000E-9	-3.186087E-4
8.500000E-9	-3.991174E-4
8.550000E-9	-5.018944E-4
8.600000E-9	-6.080973E-4
8.650000E-9	-7.005966E-4
8.700000E-9	-7.793923E-4
8.750000E-9	-8.393455E-4
8.800000E-9	-8.650398E-4
8.850000E-9	-8.650398E-4
8.900000E-9	-8.461973E-4
