Study Name	Steel-Set-1st-Attempt
Sample Name	S43CF8360C10k
Run Name	spot04
Operator	Saleem Aldajani
Date	3/25/2019
Time	12:16
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:18:09
	
Time	Amplitude
0.000000E+0	-1.181936E-4
5.000000E-11	-6.851800E-5
1.000000E-10	-1.712950E-5
1.500000E-10	2.569425E-5
2.000000E-10	5.824030E-5
2.500000E-10	8.050865E-5
3.000000E-10	8.736045E-5
3.500000E-10	7.536980E-5
4.000000E-10	5.652735E-5
4.500000E-10	3.768490E-5
5.000000E-10	2.055540E-5
5.500000E-10	6.851800E-6
6.000000E-10	-6.851800E-6
6.500000E-10	-1.199065E-5
7.000000E-10	1.712950E-6
7.500000E-10	2.740720E-5
8.000000E-10	6.509210E-5
8.500000E-10	1.079159E-4
9.000000E-10	1.387490E-4
9.500000E-10	1.593044E-4
1.000000E-9	1.918504E-4
1.050000E-9	2.346742E-4
1.100000E-9	2.603684E-4
1.150000E-9	2.552296E-4
1.200000E-9	2.381001E-4
1.250000E-9	2.226835E-4
1.300000E-9	2.021281E-4
1.350000E-9	1.593044E-4
1.400000E-9	1.062029E-4
1.450000E-9	5.138850E-5
1.500000E-9	-1.884245E-5
1.550000E-9	-8.050865E-5
1.600000E-9	-1.318972E-4
1.650000E-9	-2.004152E-4
1.700000E-9	-2.792109E-4
1.750000E-9	-3.477289E-4
1.800000E-9	-3.956915E-4
1.850000E-9	-4.213857E-4
1.900000E-9	-4.385152E-4
1.950000E-9	-4.402282E-4
2.000000E-9	-4.059692E-4
2.050000E-9	-3.408771E-4
2.100000E-9	-2.620814E-4
2.150000E-9	-1.815727E-4
2.200000E-9	-9.935110E-5
2.250000E-9	-1.027770E-5
2.300000E-9	7.708275E-5
2.350000E-9	1.438878E-4
2.400000E-9	1.867116E-4
2.450000E-9	2.226835E-4
2.500000E-9	2.209706E-4
2.550000E-9	1.730080E-4
2.600000E-9	1.147677E-4
2.650000E-9	4.624965E-5
2.700000E-9	-4.111080E-5
2.750000E-9	-1.079159E-4
2.800000E-9	-1.644432E-4
2.850000E-9	-2.329612E-4
2.900000E-9	-2.774979E-4
2.950000E-9	-2.877756E-4
3.000000E-9	-3.117569E-4
3.050000E-9	-3.357382E-4
3.100000E-9	-3.117569E-4
3.150000E-9	-2.860627E-4
3.200000E-9	-2.912015E-4
3.250000E-9	-2.929145E-4
3.300000E-9	-2.860627E-4
3.350000E-9	-2.997663E-4
3.400000E-9	-3.031922E-4
3.450000E-9	-2.860627E-4
3.500000E-9	-2.723591E-4
3.550000E-9	-2.363871E-4
3.600000E-9	-1.644432E-4
3.650000E-9	-9.249930E-5
3.700000E-9	-2.569425E-5
3.750000E-9	7.023095E-5
3.800000E-9	1.678691E-4
3.850000E-9	2.209706E-4
3.900000E-9	2.466648E-4
3.950000E-9	2.586555E-4
4.000000E-9	2.466648E-4
4.050000E-9	2.055540E-4
4.100000E-9	1.575914E-4
4.150000E-9	9.935110E-5
4.200000E-9	1.884245E-5
4.250000E-9	-6.166620E-5
4.300000E-9	-1.096288E-4
4.350000E-9	-1.353231E-4
4.400000E-9	-1.473137E-4
4.450000E-9	-1.284713E-4
4.500000E-9	-8.736045E-5
4.550000E-9	-4.624965E-5
4.600000E-9	1.712950E-6
4.650000E-9	5.824030E-5
4.700000E-9	1.096288E-4
4.750000E-9	1.404619E-4
4.800000E-9	1.558785E-4
4.850000E-9	1.712950E-4
4.900000E-9	1.781468E-4
4.950000E-9	1.644432E-4
5.000000E-9	1.387490E-4
5.050000E-9	9.935110E-5
5.100000E-9	4.111080E-5
5.150000E-9	-1.884245E-5
5.200000E-9	-7.708275E-5
5.250000E-9	-1.438878E-4
5.300000E-9	-2.055540E-4
5.350000E-9	-2.415260E-4
5.400000E-9	-2.620814E-4
5.450000E-9	-2.689332E-4
5.500000E-9	-2.518037E-4
5.550000E-9	-2.089799E-4
5.600000E-9	-1.627303E-4
