Study Name	Steel-Set-1st-Attempt
Sample Name	K23CF8M36010k
Run Name	spot03
Operator	Saleem Aldajani
Date	3/25/2019
Time	15:49
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	15:51:15
	
Time	Amplitude
0.000000E+0	-1.673552E-3
5.000000E-11	-1.724941E-3
1.000000E-10	-1.747209E-3
1.500000E-10	-1.750635E-3
2.000000E-10	-1.736931E-3
2.500000E-10	-1.682117E-3
3.000000E-10	-1.601608E-3
3.500000E-10	-1.509109E-3
4.000000E-10	-1.392628E-3
4.500000E-10	-1.260731E-3
5.000000E-10	-1.161380E-3
5.500000E-10	-1.094575E-3
6.000000E-10	-1.032909E-3
6.500000E-10	-1.003789E-3
7.000000E-10	-1.034622E-3
7.500000E-10	-1.086010E-3
8.000000E-10	-1.135686E-3
8.500000E-10	-1.212769E-3
9.000000E-10	-1.312120E-3
9.500000E-10	-1.390915E-3
1.000000E-9	-1.438878E-3
1.050000E-9	-1.467998E-3
1.100000E-9	-1.473137E-3
1.150000E-9	-1.464572E-3
1.200000E-9	-1.430313E-3
1.250000E-9	-1.375499E-3
1.300000E-9	-1.322397E-3
1.350000E-9	-1.284713E-3
1.400000E-9	-1.259018E-3
1.450000E-9	-1.253879E-3
1.500000E-9	-1.283000E-3
1.550000E-9	-1.337814E-3
1.600000E-9	-1.402906E-3
1.650000E-9	-1.469711E-3
1.700000E-9	-1.541655E-3
1.750000E-9	-1.603321E-3
1.800000E-9	-1.627303E-3
1.850000E-9	-1.629015E-3
1.900000E-9	-1.618738E-3
1.950000E-9	-1.570775E-3
2.000000E-9	-1.490267E-3
2.050000E-9	-1.401193E-3
2.100000E-9	-1.322397E-3
2.150000E-9	-1.252166E-3
2.200000E-9	-1.175084E-3
2.250000E-9	-1.108279E-3
2.300000E-9	-1.065455E-3
2.350000E-9	-1.031196E-3
2.400000E-9	-9.986499E-4
2.450000E-9	-9.986499E-4
2.500000E-9	-1.019205E-3
2.550000E-9	-1.032909E-3
2.600000E-9	-1.043187E-3
2.650000E-9	-1.056890E-3
2.700000E-9	-1.068881E-3
2.750000E-9	-1.079159E-3
2.800000E-9	-1.087723E-3
2.850000E-9	-1.106566E-3
2.900000E-9	-1.152815E-3
2.950000E-9	-1.187074E-3
3.000000E-9	-1.217907E-3
3.050000E-9	-1.279574E-3
3.100000E-9	-1.334388E-3
3.150000E-9	-1.356656E-3
3.200000E-9	-1.378925E-3
3.250000E-9	-1.392628E-3
3.300000E-9	-1.372073E-3
3.350000E-9	-1.334388E-3
3.400000E-9	-1.289851E-3
3.450000E-9	-1.223046E-3
3.500000E-9	-1.144251E-3
3.550000E-9	-1.072307E-3
3.600000E-9	-9.969369E-4
3.650000E-9	-9.164283E-4
3.700000E-9	-8.581880E-4
3.750000E-9	-8.239290E-4
3.800000E-9	-7.930959E-4
3.850000E-9	-7.879570E-4
3.900000E-9	-8.273549E-4
3.950000E-9	-9.078635E-4
4.000000E-9	-1.003789E-3
4.050000E-9	-1.094575E-3
4.100000E-9	-1.171658E-3
4.150000E-9	-1.252166E-3
4.200000E-9	-1.320684E-3
4.250000E-9	-1.351518E-3
4.300000E-9	-1.380638E-3
4.350000E-9	-1.406332E-3
4.400000E-9	-1.377212E-3
4.450000E-9	-1.324110E-3
4.500000E-9	-1.298416E-3
4.550000E-9	-1.272722E-3
4.600000E-9	-1.235037E-3
4.650000E-9	-1.235037E-3
4.700000E-9	-1.272722E-3
4.750000E-9	-1.324110E-3
4.800000E-9	-1.401193E-3
4.850000E-9	-1.488554E-3
4.900000E-9	-1.560497E-3
4.950000E-9	-1.625590E-3
5.000000E-9	-1.687256E-3
5.050000E-9	-1.718089E-3
5.100000E-9	-1.723228E-3
5.150000E-9	-1.712950E-3
5.200000E-9	-1.671839E-3
5.250000E-9	-1.610173E-3
5.300000E-9	-1.558785E-3
5.350000E-9	-1.498831E-3
5.400000E-9	-1.416610E-3
5.450000E-9	-1.366934E-3
5.500000E-9	-1.366934E-3
5.550000E-9	-1.365221E-3
5.600000E-9	-1.360082E-3
5.650000E-9	-1.378925E-3
5.700000E-9	-1.402906E-3
5.750000E-9	-1.404619E-3
5.800000E-9	-1.390915E-3
5.850000E-9	-1.377212E-3
5.900000E-9	-1.356656E-3
5.950000E-9	-1.325823E-3
6.000000E-9	-1.298416E-3
6.050000E-9	-1.272722E-3
6.100000E-9	-1.240176E-3
