Study Name	Steel-Set-1st-Attempt
Sample Name	S43CF8290C10k
Run Name	spot03
Operator	Saleem Aldajani
Date	3/25/2019
Time	13:33
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:35:22
	
Time	Amplitude
0.000000E+0	3.186087E-4
5.000000E-11	3.871267E-4
1.000000E-10	4.145339E-4
1.500000E-10	3.974044E-4
2.000000E-10	3.254605E-4
2.500000E-10	2.209706E-4
3.000000E-10	9.592520E-5
3.500000E-10	-6.337915E-5
4.000000E-10	-2.209706E-4
4.500000E-10	-3.340253E-4
5.000000E-10	-4.059692E-4
5.500000E-10	-4.573577E-4
6.000000E-10	-4.539318E-4
6.500000E-10	-3.922656E-4
7.000000E-10	-2.860627E-4
7.500000E-10	-1.490267E-4
8.000000E-10	-5.138850E-6
8.500000E-10	1.079159E-4
9.000000E-10	1.935634E-4
9.500000E-10	2.552296E-4
1.000000E-9	2.792109E-4
1.050000E-9	2.552296E-4
1.100000E-9	1.901375E-4
1.150000E-9	8.907340E-5
1.200000E-9	-3.939785E-5
1.250000E-9	-1.644432E-4
1.300000E-9	-2.757850E-4
1.350000E-9	-3.871267E-4
1.400000E-9	-4.590706E-4
1.450000E-9	-4.642095E-4
1.500000E-9	-4.333764E-4
1.550000E-9	-3.802749E-4
1.600000E-9	-2.809238E-4
1.650000E-9	-1.558785E-4
1.700000E-9	-4.282375E-5
1.750000E-9	7.023095E-5
1.800000E-9	1.952763E-4
1.850000E-9	3.066181E-4
1.900000E-9	3.871267E-4
1.950000E-9	4.419411E-4
2.000000E-9	4.779131E-4
2.050000E-9	4.744872E-4
2.100000E-9	4.316634E-4
2.150000E-9	3.734231E-4
2.200000E-9	3.049051E-4
2.250000E-9	2.226835E-4
2.300000E-9	1.301842E-4
2.350000E-9	2.226835E-5
2.400000E-9	-9.249930E-5
2.450000E-9	-1.935634E-4
2.500000E-9	-2.706461E-4
2.550000E-9	-3.511548E-4
2.600000E-9	-4.248116E-4
2.650000E-9	-4.727742E-4
2.700000E-9	-4.933296E-4
2.750000E-9	-4.676354E-4
2.800000E-9	-4.042562E-4
2.850000E-9	-3.340253E-4
2.900000E-9	-2.603684E-4
2.950000E-9	-1.712950E-4
3.000000E-9	-8.222160E-5
3.050000E-9	1.712950E-6
3.100000E-9	7.194390E-5
3.150000E-9	1.113418E-4
3.200000E-9	1.250454E-4
3.250000E-9	1.336101E-4
3.300000E-9	1.301842E-4
3.350000E-9	9.935110E-5
3.400000E-9	5.481440E-5
3.450000E-9	0.000000E+0
3.500000E-9	-7.023095E-5
3.550000E-9	-1.336101E-4
3.600000E-9	-1.764339E-4
3.650000E-9	-2.038411E-4
3.700000E-9	-2.278224E-4
3.750000E-9	-2.432389E-4
3.800000E-9	-2.329612E-4
3.850000E-9	-1.815727E-4
3.900000E-9	-1.181936E-4
3.950000E-9	-7.365685E-5
4.000000E-9	-4.796260E-5
4.050000E-9	-1.541655E-5
4.100000E-9	5.138850E-6
4.150000E-9	-1.712950E-6
4.200000E-9	-3.425900E-5
4.250000E-9	-8.050865E-5
4.300000E-9	-1.336101E-4
4.350000E-9	-1.747209E-4
4.400000E-9	-2.124058E-4
4.450000E-9	-2.672202E-4
4.500000E-9	-3.271735E-4
4.550000E-9	-3.751361E-4
4.600000E-9	-4.162469E-4
4.650000E-9	-4.505059E-4
4.700000E-9	-4.727742E-4
4.750000E-9	-4.813390E-4
4.800000E-9	-4.727742E-4
4.850000E-9	-4.590706E-4
4.900000E-9	-4.333764E-4
4.950000E-9	-3.905526E-4
5.000000E-9	-3.443030E-4
5.050000E-9	-2.894886E-4
5.100000E-9	-2.055540E-4
5.150000E-9	-1.096288E-4
5.200000E-9	-1.027770E-5
5.250000E-9	8.907340E-5
5.300000E-9	1.524526E-4
5.350000E-9	1.678691E-4
5.400000E-9	1.764339E-4
5.450000E-9	1.730080E-4
5.500000E-9	1.353231E-4
5.550000E-9	8.564750E-5
5.600000E-9	4.624965E-5
5.650000E-9	1.370360E-5
5.700000E-9	0.000000E+0
5.750000E-9	5.138850E-6
5.800000E-9	6.851800E-6
5.850000E-9	1.712950E-6
5.900000E-9	2.569425E-5
5.950000E-9	7.023095E-5
6.000000E-9	9.935110E-5
6.050000E-9	1.164806E-4
6.100000E-9	1.233324E-4
6.150000E-9	1.044900E-4
6.200000E-9	6.680505E-5
6.250000E-9	2.740720E-5
6.300000E-9	-6.851800E-6
6.350000E-9	-3.939785E-5
6.400000E-9	-5.824030E-5
6.450000E-9	-6.680505E-5
